query_id,query_text,language,disease_entity,icd10_code,molecule_entity,atc_code,drug_class_entity,atc_class,therapeutic_area,age_group,pregnancy_status,year,recency_flag,dose_context_flag,route,renal_function_group,hepatic_impairment_flag,comparison_flag,negation_flag,prior_treatment_failure_flag
Q001,is Diazepam safe in Febrile Seizure with immunocompromised,EN,Febrile Seizure,R56.0,Diazepam,N05BA01,Benzodiazepines,N05BA,Pediatrics,,,,False,False,,,False,False,False,False
Q002,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,EN,Atrial Fibrillation,I48,Dapagliflozin,A10BK01,SGLT2 inhibitors,A10BK,Cardiology,,,,False,False,,,False,False,False,False
Q003,interaksi obat Nivolumab dan Nivolumab pada Colorectal Cancer,ID,Colorectal Cancer,C18,Nivolumab; Nivolumab,L01FF01; L01FF01,PD-1 inhibitors; PD-1 inhibitors,L01FF; L01FF,Oncology,,,,False,False,,,False,False,False,False
Q004,Apixaban efficacy pada Deep Vein Thrombosis clinical outcome data,MIXED,Deep Vein Thrombosis,I82,Apixaban,B01AF02,Factor Xa inhibitors,B01AF,Haematology,,,,False,False,,,False,False,False,False
Q005,Penicillins in pregnancy and HIV/AIDS,EN,HIV/AIDS,B20,Amoxicillin,J01CA04,Penicillins,J01CA,Infectious Disease,,pregnant,,False,False,,,False,False,False,False
Q006,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,MIXED,Heart Failure,I50,Metoprolol; Metoprolol,C07AB02; C07AB02,Beta blockers selective; Beta blockers selective,C07AB; C07AB,Cardiology,,,,False,False,,,False,False,True,False
Q007,Hydroxychloroquine hepatic impairment dose in Rheumatoid Arthritis,EN,Rheumatoid Arthritis,M05,Hydroxychloroquine,P01BA02,Antimalarials,P01BA,Rheumatology,,,,False,True,,,True,False,False,False
Q008,Short-acting beta2-agonists adverse effects monitoring in Asthma,EN,Asthma,J45,Salbutamol,R03AC02,Short-acting beta2-agonists,R03AC,Pulmonology,,,,False,False,,,False,False,False,False
Q009,Tenofovir+Lamivudine drug interaction with Tenofovir+Lamivudine in Urinary Tract Infection,EN,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine; Tenofovir+Lamivudine,J05AF; J05AF,NRTIs combination; NRTIs combination,J05AF; J05AF,Infectious Disease,,,,False,False,,,False,False,False,False
Q010,renal dose adjustment Magnesium sulphate in Preeclampsia,EN,Preeclampsia,O14,Magnesium sulphate,A12CC02,Magnesium,A12CC,Obstetrics,,pregnancy_related,,False,True,,renal_impairment,False,False,False,False
Q011,Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical,MIXED,Psoriasis,L40,Tacrolimus topical,D11AH01,Topical calcineurin inhibitors,D11AH,Dermatology,,,,False,True,topical,renal_impairment,False,False,False,False
