signal_id,session_id,doctor_id,query_id,content_id,event_type,event_timestamp,dwell_seconds
SIG0001,SE0440,D119,Q429,C037,click,2025-01-01 00:06:27,0
SIG0002,SE0152,D012,Q146,C252,click,2025-01-01 01:42:12,11
SIG0003,SE0152,D012,Q146,C201,click,2025-01-01 01:44:12,4
SIG0004,SE0152,D012,Q146,C212,click,2025-01-01 01:44:43,15
SIG0005,SE0152,D012,Q146,C215,scroll_deep,2025-01-01 01:46:03,85
SIG0006,SE0635,D016,Q314,C190,save_bookmark,2025-01-01 01:50:30,158
SIG0007,SE0356,D041,Q161,C046,click,2025-01-01 06:09:50,0
SIG0008,SE0444,D003,Q262,C290,click,2025-01-01 08:24:34,17
SIG0009,SE0397,D029,Q213,C031,click,2025-01-01 09:48:30,21
SIG0010,SE0472,D087,Q012,C092,scroll_deep,2025-01-01 10:24:14,66
SIG0011,SE0172,D091,Q202,C235,click,2025-01-01 13:16:36,27
SIG0012,SE0172,D091,Q202,C182,scroll_deep,2025-01-01 13:17:36,209
SIG0013,SE0529,D008,Q154,C242,return_visit,2025-01-01 13:19:19,239
SIG0014,SE0172,D091,Q202,C149,scroll_deep,2025-01-01 13:20:05,117
SIG0015,SE0172,D091,Q202,C095,click,2025-01-01 13:28:48,0
SIG0016,SE0140,D109,Q472,C211,click,2025-01-01 14:03:32,7
SIG0017,SE0140,D109,Q472,C169,scroll_deep,2025-01-01 14:06:00,64
SIG0018,SE0140,D109,Q472,C265,save_bookmark,2025-01-01 14:06:53,91
SIG0019,SE0140,D109,Q472,C192,scroll_deep,2025-01-01 14:07:28,175
SIG0020,SE0140,D109,Q472,C330,click,2025-01-01 14:07:37,4
SIG0021,SE0238,D079,Q453,C312,click,2025-01-01 14:24:02,5
SIG0022,SE0238,D079,Q453,C338,click,2025-01-01 14:25:20,9
SIG0023,SE0144,D010,Q180,C226,click,2025-01-01 14:45:20,19
SIG0024,SE0144,D010,Q180,C046,click,2025-01-01 14:48:47,29
SIG0025,SE0144,D010,Q180,C283,click,2025-01-01 14:50:44,26
SIG0026,SE0226,D098,Q482,C029,click,2025-01-01 14:51:14,3
SIG0027,SE0269,D030,Q383,C124,click,2025-01-01 15:06:20,30
SIG0028,SE0456,D012,Q440,C034,click,2025-01-01 17:09:20,21
SIG0029,SE0585,D072,Q121,C078,scroll_deep,2025-01-01 17:29:34,140
SIG0030,SE0339,D038,Q240,C288,click,2025-01-01 19:17:48,14
SIG0031,SE0060,D097,Q359,C327,click,2025-01-01 19:23:00,11
SIG0032,SE0060,D097,Q359,C255,click,2025-01-01 19:24:26,1
SIG0033,SE0060,D097,Q359,C140,click,2025-01-01 19:27:03,74
SIG0034,SE0060,D097,Q359,C290,click,2025-01-01 19:30:18,12
SIG0035,SE0208,D015,Q020,C301,click,2025-01-01 20:52:25,18
SIG0036,SE0312,D093,Q083,C255,click,2025-01-01 21:42:21,2
SIG0037,SE0215,D033,Q494,C057,click,2025-01-02 01:31:50,22
SIG0038,SE0197,D089,Q043,C242,click,2025-01-02 05:39:27,30
SIG0039,SE0197,D089,Q043,C246,click,2025-01-02 05:41:03,27
SIG0040,SE0197,D089,Q043,C143,click,2025-01-02 05:43:31,18
SIG0041,SE0197,D089,Q043,C255,scroll_deep,2025-01-02 05:45:48,185
SIG0042,SE0197,D089,Q043,C010,scroll_deep,2025-01-02 05:48:59,182
SIG0043,SE0101,D023,Q231,C289,click,2025-01-02 10:30:59,52
SIG0044,SE0101,D023,Q231,C315,click,2025-01-02 10:34:31,30
SIG0045,SE0101,D023,Q231,C117,save_bookmark,2025-01-02 10:39:21,152
SIG0046,SE0101,D023,Q231,C295,scroll_deep,2025-01-02 10:42:11,106
SIG0047,SE0458,D009,Q040,C075,click,2025-01-02 12:58:35,0
SIG0048,SE0463,D088,Q270,C015,click,2025-01-02 15:02:32,1
SIG0049,SE0148,D018,Q281,C117,click,2025-01-02 17:12:05,4
SIG0050,SE0148,D018,Q281,C341,click,2025-01-02 17:14:23,13
SIG0051,SE0148,D018,Q281,C129,click,2025-01-02 17:16:08,7
SIG0052,SE0290,D029,Q244,C029,click,2025-01-02 20:08:26,4
SIG0053,SE0290,D029,Q244,C330,click,2025-01-02 20:11:04,1
SIG0054,SE0591,D099,Q477,C268,scroll_deep,2025-01-02 20:52:10,63
SIG0055,SE0593,D042,Q070,C005,scroll_deep,2025-01-02 21:43:53,228
SIG0056,SE0224,D023,Q362,C043,click,2025-01-02 21:54:39,4
SIG0057,SE0229,D113,Q168,C327,click,2025-01-02 21:57:22,3
SIG0058,SE0480,D003,Q450,C314,click,2025-01-02 22:00:26,18
SIG0059,SE0530,D068,Q281,C299,click,2025-01-02 23:58:50,14
SIG0060,SE0065,D062,Q005,C009,click,2025-01-03 01:00:39,11
SIG0061,SE0065,D062,Q005,C180,scroll_deep,2025-01-03 01:03:20,115
SIG0062,SE0065,D062,Q005,C084,scroll_deep,2025-01-03 01:05:39,183
SIG0063,SE0065,D062,Q005,C259,click,2025-01-03 01:06:15,25
SIG0064,SE0592,D057,Q473,C258,click,2025-01-03 01:25:05,49
SIG0065,SE0160,D019,Q021,C237,click,2025-01-03 01:44:41,19
SIG0066,SE0160,D019,Q021,C103,scroll_deep,2025-01-03 01:48:52,113
SIG0067,SE0160,D019,Q021,C092,click,2025-01-03 01:52:11,12
SIG0068,SE0343,D054,Q033,C326,click,2025-01-03 02:36:33,34
SIG0069,SE0343,D054,Q033,C212,save_bookmark,2025-01-03 02:41:09,66
SIG0070,SE0662,D071,Q128,C232,click,2025-01-03 03:17:55,15
SIG0071,SE0083,D004,Q443,C096,click,2025-01-03 03:32:22,2
SIG0072,SE0083,D004,Q443,C034,scroll_deep,2025-01-03 03:33:20,87
SIG0073,SE0083,D004,Q443,C226,click,2025-01-03 03:38:18,2
SIG0074,SE0545,D003,Q287,C231,click,2025-01-03 04:17:10,13
SIG0075,SE0663,D050,Q293,C081,click,2025-01-03 05:45:24,6
SIG0076,SE0268,D002,Q355,C031,click,2025-01-03 06:44:07,0
SIG0077,SE0268,D002,Q355,C097,save_bookmark,2025-01-03 06:47:17,68
SIG0078,SE0218,D029,Q447,C228,click,2025-01-03 08:11:52,2
SIG0079,SE0094,D012,Q208,C232,click,2025-01-03 08:31:24,7
SIG0080,SE0094,D012,Q208,C334,scroll_deep,2025-01-03 08:32:32,117
SIG0081,SE0094,D012,Q208,C226,scroll_deep,2025-01-03 08:33:52,63
SIG0082,SE0094,D012,Q208,C052,click,2025-01-03 08:42:27,3
SIG0083,SE0094,D012,Q208,C160,scroll_deep,2025-01-03 08:49:52,118
SIG0084,SE0620,D093,Q292,C124,return_visit,2025-01-03 09:07:32,154
SIG0085,SE0594,D002,Q319,C342,click,2025-01-03 09:26:00,8
SIG0086,SE0453,D068,Q395,C203,click,2025-01-03 09:49:31,21
SIG0087,SE0177,D093,Q285,C247,click,2025-01-03 09:49:46,0
SIG0088,SE0177,D093,Q285,C037,click,2025-01-03 09:50:17,31
SIG0089,SE0177,D093,Q285,C332,click,2025-01-03 09:58:56,11
SIG0090,SE0608,D032,Q185,C106,click,2025-01-03 11:46:51,2
SIG0091,SE0061,D114,Q181,C255,click,2025-01-03 11:49:59,11
SIG0092,SE0003,D027,Q046,C204,click,2025-01-03 11:51:29,5
SIG0093,SE0003,D027,Q046,C167,click,2025-01-03 11:53:23,2
SIG0094,SE0061,D114,Q181,C103,scroll_deep,2025-01-03 11:53:43,173
SIG0095,SE0061,D114,Q181,C088,scroll_deep,2025-01-03 11:54:17,141
SIG0096,SE0061,D114,Q181,C106,scroll_deep,2025-01-03 11:55:07,185
SIG0097,SE0003,D027,Q046,C277,scroll_deep,2025-01-03 11:55:24,170
SIG0098,SE0003,D027,Q046,C083,save_bookmark,2025-01-03 11:57:29,84
SIG0099,SE0003,D027,Q046,C249,click,2025-01-03 12:00:44,5
SIG0100,SE0061,D114,Q181,C274,click,2025-01-03 12:02:39,14
SIG0101,SE0003,D027,Q046,C288,scroll_deep,2025-01-03 12:03:34,142
SIG0102,SE0003,D027,Q046,C342,scroll_deep,2025-01-03 12:17:29,201
SIG0103,SE0333,D002,Q437,C167,click,2025-01-03 17:08:31,13
SIG0104,SE0190,D009,Q197,C149,click,2025-01-03 19:08:27,11
SIG0105,SE0190,D009,Q197,C196,click,2025-01-03 19:12:01,13
SIG0106,SE0190,D009,Q197,C313,click,2025-01-03 19:17:21,13
SIG0107,SE0204,D073,Q498,C301,click,2025-01-03 19:35:26,11
SIG0108,SE0204,D073,Q498,C049,click,2025-01-03 19:37:22,49
SIG0109,SE0127,D069,Q292,C293,click,2025-01-03 21:09:24,40
SIG0110,SE0127,D069,Q292,C175,click,2025-01-03 21:11:20,38
SIG0111,SE0127,D069,Q292,C203,save_bookmark,2025-01-03 21:15:22,97
SIG0112,SE0498,D048,Q076,C142,click,2025-01-03 22:43:15,13
SIG0113,SE0022,D094,Q321,C310,click,2025-01-04 02:03:01,4
SIG0114,SE0022,D094,Q321,C342,click,2025-01-04 02:04:26,16
SIG0115,SE0022,D094,Q321,C129,click,2025-01-04 02:04:45,25
SIG0116,SE0022,D094,Q321,C025,click,2025-01-04 02:06:01,11
SIG0117,SE0022,D094,Q321,C192,scroll_deep,2025-01-04 02:17:49,159
SIG0118,SE0022,D094,Q321,C220,save_bookmark,2025-01-04 02:22:36,66
SIG0119,SE0146,D098,Q145,C235,click,2025-01-04 02:24:58,0
SIG0120,SE0146,D098,Q145,C011,click,2025-01-04 02:28:32,1
SIG0121,SE0146,D098,Q145,C277,click,2025-01-04 02:28:48,3
SIG0122,SE0146,D098,Q145,C327,click,2025-01-04 02:29:04,0
SIG0123,SE0146,D098,Q145,C278,scroll_deep,2025-01-04 02:30:54,92
SIG0124,SE0626,D056,Q189,C332,return_visit,2025-01-04 03:38:38,311
SIG0125,SE0211,D001,Q365,C068,click,2025-01-04 04:03:53,30
SIG0126,SE0041,D006,Q370,C235,click,2025-01-04 06:51:07,8
SIG0127,SE0041,D006,Q370,C295,click,2025-01-04 06:53:01,15
SIG0128,SE0041,D006,Q370,C059,scroll_deep,2025-01-04 06:54:56,131
SIG0129,SE0041,D006,Q370,C111,scroll_deep,2025-01-04 06:58:02,127
SIG0130,SE0041,D006,Q370,C310,click,2025-01-04 06:58:43,14
SIG0131,SE0041,D006,Q370,C256,scroll_deep,2025-01-04 07:04:51,68
SIG0132,SE0041,D006,Q370,C135,scroll_deep,2025-01-04 07:11:07,172
SIG0133,SE0041,D006,Q370,C334,click,2025-01-04 07:14:48,10
SIG0134,SE0450,D096,Q032,C285,click,2025-01-04 07:45:58,8
SIG0135,SE0368,D006,Q363,C005,click,2025-01-04 07:56:41,20
SIG0136,SE0005,D015,Q054,C010,click,2025-01-04 10:55:49,1
SIG0137,SE0005,D015,Q054,C330,scroll_deep,2025-01-04 10:58:00,183
SIG0138,SE0005,D015,Q054,C241,click,2025-01-04 11:00:39,8
