impression_id,session_id,doctor_id,query_id,content_id,timestamp_served
IMP0001,SE0440,D119,Q429,C252,2025-01-01 00:05:55
IMP0002,SE0440,D119,Q429,C047,2025-01-01 00:05:56
IMP0003,SE0440,D119,Q429,C321,2025-01-01 00:05:58
IMP0004,SE0440,D119,Q429,C277,2025-01-01 00:06:02
IMP0005,SE0440,D119,Q429,C104,2025-01-01 00:06:06
IMP0006,SE0440,D119,Q429,C315,2025-01-01 00:06:06
IMP0007,SE0440,D119,Q429,C303,2025-01-01 00:06:07
IMP0008,SE0440,D119,Q429,C217,2025-01-01 00:06:07
IMP0009,SE0440,D119,Q429,C037,2025-01-01 00:06:10
IMP0010,SE0796,D049,Q448,C078,2025-01-01 01:34:58
IMP0011,SE0796,D049,Q448,C011,2025-01-01 01:34:58
IMP0012,SE0796,D049,Q448,C054,2025-01-01 01:34:58
IMP0013,SE0796,D049,Q448,C162,2025-01-01 01:34:59
IMP0014,SE0796,D049,Q448,C314,2025-01-01 01:35:02
IMP0015,SE0796,D049,Q448,C259,2025-01-01 01:35:04
IMP0016,SE0796,D049,Q448,C212,2025-01-01 01:35:04
IMP0017,SE0796,D049,Q448,C337,2025-01-01 01:35:05
IMP0018,SE0796,D049,Q448,C220,2025-01-01 01:35:14
IMP0019,SE0152,D012,Q146,C240,2025-01-01 01:41:35
IMP0020,SE0152,D012,Q146,C252,2025-01-01 01:41:40
IMP0021,SE0152,D012,Q146,C102,2025-01-01 01:41:44
IMP0022,SE0152,D012,Q146,C042,2025-01-01 01:41:52
IMP0023,SE0152,D012,Q146,C315,2025-01-01 01:41:52
IMP0024,SE0152,D012,Q146,C027,2025-01-01 01:41:53
IMP0025,SE0152,D012,Q146,C270,2025-01-01 01:41:54
IMP0026,SE0152,D012,Q146,C215,2025-01-01 01:41:54
IMP0027,SE0152,D012,Q146,C212,2025-01-01 01:41:55
IMP0028,SE0152,D012,Q146,C201,2025-01-01 01:41:59
IMP0029,SE0152,D012,Q146,C184,2025-01-01 01:42:00
IMP0030,SE0152,D012,Q146,C067,2025-01-01 01:42:02
IMP0031,SE0635,D016,Q314,C325,2025-01-01 01:49:54
IMP0032,SE0635,D016,Q314,C045,2025-01-01 01:49:56
IMP0033,SE0635,D016,Q314,C219,2025-01-01 01:49:58
IMP0034,SE0635,D016,Q314,C159,2025-01-01 01:50:01
IMP0035,SE0635,D016,Q314,C074,2025-01-01 01:50:01
IMP0036,SE0635,D016,Q314,C190,2025-01-01 01:50:02
IMP0037,SE0635,D016,Q314,C318,2025-01-01 01:50:04
IMP0038,SE0356,D041,Q161,C211,2025-01-01 06:09:18
IMP0039,SE0356,D041,Q161,C309,2025-01-01 06:09:19
IMP0040,SE0356,D041,Q161,C065,2025-01-01 06:09:27
IMP0041,SE0356,D041,Q161,C069,2025-01-01 06:09:28
IMP0042,SE0356,D041,Q161,C051,2025-01-01 06:09:29
IMP0043,SE0356,D041,Q161,C079,2025-01-01 06:09:30
IMP0044,SE0356,D041,Q161,C313,2025-01-01 06:09:31
IMP0045,SE0356,D041,Q161,C075,2025-01-01 06:09:33
IMP0046,SE0356,D041,Q161,C062,2025-01-01 06:09:35
IMP0047,SE0356,D041,Q161,C091,2025-01-01 06:09:37
IMP0048,SE0356,D041,Q161,C153,2025-01-01 06:09:37
IMP0049,SE0356,D041,Q161,C046,2025-01-01 06:09:39
IMP0050,SE0681,D037,Q053,C187,2025-01-01 06:41:33
IMP0051,SE0681,D037,Q053,C038,2025-01-01 06:41:33
IMP0052,SE0681,D037,Q053,C237,2025-01-01 06:41:33
IMP0053,SE0681,D037,Q053,C075,2025-01-01 06:41:34
IMP0054,SE0681,D037,Q053,C146,2025-01-01 06:41:35
IMP0055,SE0681,D037,Q053,C259,2025-01-01 06:41:38
IMP0056,SE0681,D037,Q053,C140,2025-01-01 06:41:40
IMP0057,SE0681,D037,Q053,C173,2025-01-01 06:41:45
IMP0058,SE0444,D003,Q262,C213,2025-01-01 08:24:00
IMP0059,SE0444,D003,Q262,C274,2025-01-01 08:24:06
IMP0060,SE0444,D003,Q262,C198,2025-01-01 08:24:06
IMP0061,SE0444,D003,Q262,C048,2025-01-01 08:24:12
IMP0062,SE0444,D003,Q262,C290,2025-01-01 08:24:14
IMP0063,SE0444,D003,Q262,C205,2025-01-01 08:24:14
IMP0064,SE0444,D003,Q262,C190,2025-01-01 08:24:17
IMP0065,SE0444,D003,Q262,C093,2025-01-01 08:24:18
IMP0066,SE0444,D003,Q262,C191,2025-01-01 08:24:21
IMP0067,SE0444,D003,Q262,C020,2025-01-01 08:24:22
IMP0068,SE0444,D003,Q262,C228,2025-01-01 08:24:24
IMP0069,SE0715,D021,Q173,C238,2025-01-01 08:41:18
IMP0070,SE0715,D021,Q173,C012,2025-01-01 08:41:19
IMP0071,SE0715,D021,Q173,C132,2025-01-01 08:41:20
IMP0072,SE0715,D021,Q173,C019,2025-01-01 08:41:22
IMP0073,SE0715,D021,Q173,C212,2025-01-01 08:41:24
IMP0074,SE0748,D010,Q296,C341,2025-01-01 08:52:31
