signal_id,session_id,doctor_id,query_id,content_id,event_type,event_timestamp,dwell_seconds,reason
SIG0001,SE0440,D119,Q429,C037,click,2025-01-01 00:06:27,0,zero_dwell
SIG0007,SE0356,D041,Q161,C046,click,2025-01-01 06:09:50,0,zero_dwell
SIG0015,SE0172,D091,Q202,C095,click,2025-01-01 13:28:48,0,zero_dwell
SIG0047,SE0458,D009,Q040,C075,click,2025-01-02 12:58:35,0,zero_dwell
SIG0076,SE0268,D002,Q355,C031,click,2025-01-03 06:44:07,0,zero_dwell
SIG0087,SE0177,D093,Q285,C247,click,2025-01-03 09:49:46,0,zero_dwell
SIG0119,SE0146,D098,Q145,C235,click,2025-01-04 02:24:58,0,zero_dwell
SIG0122,SE0146,D098,Q145,C327,click,2025-01-04 02:29:04,0,zero_dwell
SIG0192,SE0232,D051,Q411,C344,click,2025-01-05 12:21:40,0,zero_dwell
SIG0194,SE0341,D111,Q196,C084,click,2025-01-05 12:34:27,0,zero_dwell
SIG0219,SE0002,D064,Q384,C331,click,2025-01-05 21:07:17,0,zero_dwell
SIG0229,SE0176,D096,Q076,C263,click,2025-01-05 22:03:28,0,zero_dwell
SIG0318,SE0136,D071,Q077,C052,click,2025-01-07 22:31:33,0,zero_dwell
SIG0340,SE0227,D008,Q026,C103,click,2025-01-08 05:45:57,0,zero_dwell
SIG0363,SE0012,D074,Q416,C151,click,2025-01-08 09:26:40,0,zero_dwell
SIG0416,SE0007,D098,Q316,C029,click,2025-01-09 19:45:52,0,zero_dwell
SIG0439,SE0089,D103,Q427,C111,click,2025-01-10 05:23:37,0,zero_dwell
SIG0443,SE0068,D001,Q189,C009,click,2025-01-10 16:22:58,0,zero_dwell
SIG0464,SE0328,D004,Q432,C310,click,2025-01-11 06:27:37,0,zero_dwell
SIG0469,SE0118,D015,Q159,C192,click,2025-01-11 10:24:08,0,zero_dwell
SIG0475,SE0141,D005,Q144,C338,click,2025-01-11 11:29:21,0,zero_dwell
SIG0592,SE0085,D031,Q397,C268,click,2025-01-14 08:46:48,0,zero_dwell
SIG0595,SE0370,D003,Q423,C051,click,2025-01-14 10:09:17,0,zero_dwell
SIG0613,SE0295,D006,Q249,C199,click,2025-01-15 01:41:02,0,zero_dwell
SIG0631,SE0040,D001,Q152,C160,click,2025-01-15 14:51:59,0,zero_dwell
SIG0642,SE0133,D025,Q019,C034,click,2025-01-15 15:46:59,0,zero_dwell
SIG0659,SE0170,D007,Q399,C293,click,2025-01-15 21:34:53,0,zero_dwell
SIG0726,SE0305,D118,Q010,C189,click,2025-01-17 01:29:14,0,zero_dwell
SIG0753,SE0024,D053,Q390,C088,click,2025-01-17 10:57:54,0,zero_dwell
SIG0759,SE0024,D053,Q390,C081,click,2025-01-17 11:17:39,0,zero_dwell
SIG0772,SE0344,D105,Q306,C057,click,2025-01-18 00:22:58,0,zero_dwell
SIG0834,SE0187,D076,Q100,C045,click,2025-01-19 02:00:10,0,zero_dwell
SIG0851,SE0272,D118,Q343,C111,click,2025-01-19 07:28:04,0,zero_dwell
SIG0852,SE0479,D059,Q297,C228,click,2025-01-19 08:07:57,0,zero_dwell
SIG0896,SE0154,D012,Q278,C249,click,2025-01-20 03:27:09,0,zero_dwell
SIG0903,SE0028,D066,Q229,C133,click,2025-01-20 04:33:12,0,zero_dwell
SIG0919,SE0029,D020,Q246,C327,click,2025-01-20 06:37:17,0,zero_dwell
SIG0937,SE0034,D044,Q042,C342,click,2025-01-20 20:15:03,0,zero_dwell
SIG0943,SE0034,D044,Q042,C079,click,2025-01-20 20:34:13,0,zero_dwell
SIG0947,SE0439,D030,Q293,C015,click,2025-01-21 00:15:08,0,zero_dwell
SIG0950,SE0301,D107,Q123,C022,click,2025-01-21 00:46:38,0,zero_dwell
SIG0953,SE0087,D030,Q346,C299,click,2025-01-21 00:51:34,0,zero_dwell
SIG0966,SE0091,D050,Q078,C042,click,2025-01-21 02:23:33,0,zero_dwell
SIG0988,SE0015,D098,Q480,C226,click,2025-01-21 14:26:50,0,zero_dwell
SIG0999,SE0161,D031,Q131,C322,click,2025-01-21 17:21:58,0,zero_dwell
SIG1008,SE0342,D007,Q198,C145,click,2025-01-21 22:43:48,0,zero_dwell
SIG1014,SE0106,D002,Q324,C211,click,2025-01-22 02:31:16,0,zero_dwell
SIG1018,SE0009,D118,Q075,C049,click,2025-01-22 06:27:46,0,zero_dwell
SIG1023,SE0455,D032,Q486,C257,click,2025-01-22 06:47:32,0,zero_dwell
SIG1027,SE0587,D033,Q238,C109,click,2025-01-22 07:48:15,0,zero_dwell
SIG1062,SE0130,D002,Q325,C327,click,2025-01-22 22:45:48,0,zero_dwell
SIG1078,SE0078,D008,Q335,C084,click,2025-01-23 04:15:38,0,zero_dwell
SIG1106,SE0158,D037,Q018,C217,click,2025-01-23 10:19:09,0,zero_dwell
SIG1142,SE0581,D002,Q314,C300,click,2025-01-24 03:16:54,0,zero_dwell
SIG1150,SE0162,D012,Q239,C288,click,2025-01-24 06:10:45,0,zero_dwell
SIG1216,SE0612,D040,Q304,C031,click,2025-01-25 04:57:37,0,zero_dwell
SIG1217,SE0407,D064,Q202,C162,click,2025-01-25 06:04:25,0,zero_dwell
SIG1225,SE0242,D076,Q049,C045,click,2025-01-25 14:36:55,0,zero_dwell
SIG1290,SE0300,D012,Q030,C043,click,2025-01-27 01:49:38,0,zero_dwell
SIG1316,SE0261,D002,Q170,C247,click,2025-01-27 14:14:24,0,zero_dwell
SIG1319,SE0304,D035,Q331,C025,click,2025-01-27 16:24:20,0,zero_dwell
SIG1330,SE0048,D085,Q327,C009,click,2025-01-27 18:52:30,0,zero_dwell
SIG1366,SE0182,D001,Q179,C005,click,2025-01-28 17:31:10,0,zero_dwell
SIG1408,SE0001,D021,Q165,C287,click,2025-01-29 05:44:00,0,zero_dwell
SIG1436,SE0050,D078,Q171,C083,click,2025-01-29 17:38:39,0,zero_dwell
SIG1490,SE0059,D009,Q121,C175,click,2025-01-30 18:25:43,0,zero_dwell
SIG0124,SE0626,D056,Q189,C332,return_visit,2025-01-04 03:38:38,311,above_p99_dwell
SIG0327,SE0459,D010,Q264,C142,return_visit,2025-01-08 02:12:16,353,above_p99_dwell
SIG0477,SE0469,D111,Q231,C211,return_visit,2025-01-11 13:44:30,302,above_p99_dwell
SIG0532,SE0588,D002,Q076,C127,return_visit,2025-01-12 23:31:26,334,above_p99_dwell
SIG0747,SE0419,D081,Q263,C176,return_visit,2025-01-17 09:05:09,303,above_p99_dwell
SIG0817,SE0423,D115,Q146,C054,return_visit,2025-01-18 15:07:03,263,above_p99_dwell
SIG0820,SE0487,D003,Q281,C295,return_visit,2025-01-18 16:10:42,268,above_p99_dwell
