side,field,evidence_source,records
content,age_group,text_rule,3
content,comparison_flag,text_rule,5
content,comparison_from_review,content_type_only,12
content,dose_context_flag,text_rule,33
content,dose_from_drug_profile,content_type_only,27
content,hepatic_impairment_flag,text_rule,11
content,pregnancy_status,text_rule,24
content,prior_treatment_failure_flag,text_rule,15
content,publication_year,publication_metadata,345
content,recency_flag,text_rule,5
content,renal_function_group,text_rule,1
content,route,text_rule,6
content,year,text_rule,45
query,age_group,text_rule,25
query,comparison_flag,text_rule,23
query,dose_context_flag,text_rule,93
query,hepatic_impairment_flag,text_rule,21
query,negation_flag,text_rule,10
query,pregnancy_status,text_rule,37
query,prior_treatment_failure_flag,text_rule,24
query,recency_flag,text_rule,49
query,renal_function_group,text_rule,22
query,route,text_rule,3
query,year,text_rule,29
