side,sample_group,finding,records
content,language_stratified_random,alias_candidate,2
content,language_stratified_random,comparison_miss,2
content,language_stratified_random,context_from_entity_name,1
content,language_stratified_random,context_proxy,3
content,language_stratified_random,duplicate_metadata,3
content,language_stratified_random,metadata_only_disease,2
content,language_stratified_random,metadata_only_molecule,7
content,language_stratified_random,renal_miss,1
content,language_stratified_random,self_relation,2
content,language_stratified_random,supported_extraction,4
content,targeted_risk,context_from_entity_name,2
content,targeted_risk,context_proxy,2
content,targeted_risk,duplicate_metadata,3
content,targeted_risk,metadata_only_disease,1
content,targeted_risk,metadata_only_molecule,7
content,targeted_risk,missing_severity,1
content,targeted_risk,missing_title_molecule,1
content,targeted_risk,renal_miss,1
content,targeted_risk,supported_extraction,2
content,targeted_risk,unlinked_entities,2
query,language_stratified_random,context_from_entity_name,1
query,language_stratified_random,duplicate_metadata,3
query,language_stratified_random,metadata_only_molecule,8
query,language_stratified_random,missing_care_setting,1
query,language_stratified_random,missing_treatment_state,1
query,language_stratified_random,negation_scope_error,2
query,language_stratified_random,self_relation,3
query,language_stratified_random,supported_extraction,4
query,language_stratified_random,unlinked_entities,2
query,targeted_risk,context_from_entity_name,2
query,targeted_risk,duplicate_metadata,4
query,targeted_risk,metadata_only_molecule,4
query,targeted_risk,missing_comorbidity,1
query,targeted_risk,missing_population,1
query,targeted_risk,negation_scope_error,2
query,targeted_risk,self_relation,4
query,targeted_risk,supported_extraction,2
query,targeted_risk,unlinked_entities,1
