content_id,impressions
C143,41
C111,40
C037,39
C212,38
C075,37
C052,37
C277,36
C249,36
C203,35
C211,34
C314,34
C274,33
C180,33
C228,33
C226,33
C149,33
C095,32
C189,32
C089,31
C217,31
C109,31
C341,31
C069,31
C255,31
C190,31
C049,31
C068,31
C295,31
C301,31
C137,31
C093,31
C290,30
C058,30
C310,30
C019,30
C318,30
C303,30
C163,30
C330,30
C106,30
C342,30
C299,29
C059,29
C007,29
C031,29
C051,29
C005,29
C084,29
C242,28
C225,28
C176,28
C335,28
C029,28
C009,28
C117,28
C219,28
C199,28
C022,28
C237,28
C278,28
C092,27
C103,27
C185,27
C327,27
C079,27
C214,27
C088,27
C317,27
C162,27
C135,27
C027,26
C050,26
C010,26
C268,26
C169,26
C138,26
C080,26
C198,25
C081,25
C057,25
C184,25
C304,25
C325,25
C266,25
C300,25
C072,25
C166,25
C012,25
C160,25
C139,25
C038,25
C151,25
C032,24
C094,24
C213,24
C054,24
C259,24
C345,24
C042,24
C256,24
C215,24
C073,24
C133,24
C142,24
C285,24
C048,24
C193,23
C287,23
C344,23
C286,23
C055,23
C129,23
C283,23
C127,23
C258,23
C289,23
C091,23
C096,23
C235,23
C174,23
C196,23
C315,23
C265,23
C104,23
C046,23
C326,23
C312,23
C140,22
C241,22
C023,22
C076,22
C313,22
C132,22
C141,22
C188,22
C288,22
C178,22
C209,22
C030,22
C018,22
C124,22
C158,22
C316,22
C034,22
C182,21
C334,21
C155,21
C251,21
C167,21
C128,21
C201,21
C232,21
C118,21
C025,21
C200,21
C220,21
C257,21
C082,21
C122,21
C148,21
C280,21
C033,21
C293,21
C066,20
C047,20
C311,20
C223,20
C231,20
C134,20
C175,20
C020,20
C250,20
C227,20
C331,20
C114,20
C307,20
C202,19
C282,19
C222,19
C043,19
C247,19
C145,19
C099,19
C332,19
C035,19
C298,19
C083,19
C224,19
C131,19
C260,19
C270,19
C292,19
C123,19
C233,19
C125,19
C011,19
C110,19
C159,19
C336,19
C053,19
C291,18
C229,18
C090,18
C309,18
C065,18
C273,18
C061,18
C087,18
C248,18
C170,18
C296,18
C271,18
C004,18
C267,18
C112,18
C097,18
C244,18
C126,18
C021,18
C262,18
C245,18
C269,18
C275,18
C297,18
C028,18
C015,18
C157,17
C177,17
C187,17
C236,17
C253,17
C113,17
C343,17
C173,17
C328,17
C078,17
C263,17
C105,17
C002,17
C003,17
C172,17
C305,17
C036,17
C308,17
C161,17
C064,17
C063,17
C302,17
C016,17
C319,17
C234,17
C338,17
C102,17
C153,17
C192,17
C001,17
C323,17
C339,16
C337,16
C115,16
C279,16
C191,16
C321,16
C181,16
C130,16
C013,16
C136,16
C243,16
C108,16
C340,16
C276,16
C107,16
C164,16
C281,16
C116,16
C156,15
C006,15
C186,15
C168,15
C221,15
C008,15
C101,15
C040,15
C017,15
C039,15
C322,15
C171,15
C152,15
C254,15
C261,14
C179,14
C144,14
C077,14
C207,14
C252,14
C150,14
C197,14
C183,14
C045,14
C333,14
C154,14
C239,14
C067,14
C246,14
C070,14
C264,13
C024,13
C060,13
C208,13
C147,13
C056,13
C074,13
C240,13
C121,13
C272,13
C329,13
C119,13
C306,12
C041,12
C238,12
C205,12
C146,12
C204,12
C085,12
C044,12
C294,12
C284,12
C098,12
C071,12
C195,11
C026,11
C120,11
C165,11
C014,11
C320,11
C062,10
C210,10
C086,10
C324,10
C218,10
C206,10
C194,9
C216,9
C100,8
C230,8
