feature,nonzero_pairs,nonzero_share,mean,median,maximum
structured_conflict_rate,170834,0.9903420289855073,0.7716362318840579,1.0,1.0
entity_conflict_rate,170709,0.9896173913043478,0.9695086956521739,1.0,1.0
molecule_conflict,169800,0.9843478260869565,0.9843478260869565,1.0,1.0
disease_conflict,169345,0.9817101449275363,0.9817101449275363,1.0,1.0
drug_class_conflict,168816,0.9786434782608696,0.9786434782608696,1.0,1.0
therapeutic_area_conflict,161000,0.9333333333333333,0.9333333333333333,1.0,1.0
intent_content_type_match,81929,0.4749507246376812,0.4749507246376812,0.0,1.0
structured_score,25300,0.14666666666666667,0.056070772946859894,0.0,1.0
context_coverage,14278,0.08277101449275362,0.06327342995169082,0.0,1.0
context_conflict_rate,12676,0.0734840579710145,0.061695652173913054,0.0,1.0
entity_augmented_coverage,12354,0.07161739130434783,0.03209855072463768,0.0,1.0
entity_coverage,12354,0.07161739130434783,0.030491304347826088,0.0,1.0
therapeutic_area_match,11500,0.06666666666666667,0.06666666666666667,0.0,1.0
recency_conflict,8477,0.04914202898550725,0.04914202898550725,0.0,1.0
year_conflict,8365,0.0484927536231884,0.0484927536231884,0.0,1.0
recency_match,6125,0.035507246376811595,0.035507246376811595,0.0,1.0
dose_context_match,5580,0.03234782608695652,0.03234782608695652,0.0,1.0
drug_class_match,3684,0.021356521739130434,0.021356521739130434,0.0,1.0
atc_class_match,3548,0.020568115942028984,0.020568115942028984,0.0,1.0
drug_class_name_match,3466,0.020092753623188405,0.020092753623188405,0.0,1.0
icd10_parent_match,3280,0.01901449275362319,0.01901449275362319,0.0,1.0
disease_match,3155,0.01828985507246377,0.01828985507246377,0.0,1.0
disease_name_match,3155,0.01828985507246377,0.01828985507246377,0.0,1.0
icd10_exact_match,3155,0.01828985507246377,0.01828985507246377,0.0,1.0
atc_code_exact_match,2700,0.01565217391304348,0.01565217391304348,0.0,1.0
molecule_match,2700,0.01565217391304348,0.01565217391304348,0.0,1.0
molecule_name_match,2700,0.01565217391304348,0.01565217391304348,0.0,1.0
year_match,1640,0.009507246376811595,0.009507246376811595,0.0,1.0
molecule_hierarchical_match,984,0.005704347826086957,0.005704347826086957,0.0,1.0
pregnancy_match,888,0.005147826086956522,0.005147826086956522,0.0,1.0
comparison_context_match,391,0.002266666666666667,0.002266666666666667,0.0,1.0
prior_failure_context_match,360,0.0020869565217391303,0.0020869565217391303,0.0,1.0
hepatic_context_match,231,0.0013391304347826088,0.0013391304347826088,0.0,1.0
disease_hierarchical_match,125,0.0007246376811594203,0.0007246376811594203,0.0,1.0
age_group_match,39,0.00022608695652173914,0.00022608695652173914,0.0,1.0
age_group_conflict,36,0.00020869565217391305,0.00020869565217391305,0.0,1.0
renal_context_match,22,0.00012753623188405797,0.00012753623188405797,0.0,1.0
renal_exact_match,22,0.00012753623188405797,0.00012753623188405797,0.0,1.0
route_match,12,6.956521739130434e-05,6.956521739130434e-05,0.0,1.0
route_conflict,6,3.478260869565217e-05,3.478260869565217e-05,0.0,1.0
pregnancy_conflict,0,0.0,0.0,0.0,0.0
renal_context_conflict,0,0.0,0.0,0.0,0.0
