signal_id,session_id,event_timestamp,split
SIG0001,SE0440,2025-01-01 00:06:27,train
SIG0002,SE0152,2025-01-01 01:42:12,train
SIG0003,SE0152,2025-01-01 01:44:12,train
SIG0004,SE0152,2025-01-01 01:44:43,train
SIG0005,SE0152,2025-01-01 01:46:03,train
SIG0006,SE0635,2025-01-01 01:50:30,test
SIG0007,SE0356,2025-01-01 06:09:50,test
SIG0008,SE0444,2025-01-01 08:24:34,train
SIG0009,SE0397,2025-01-01 09:48:30,test
SIG0010,SE0472,2025-01-01 10:24:14,validation
SIG0011,SE0172,2025-01-01 13:16:36,train
SIG0012,SE0172,2025-01-01 13:17:36,train
SIG0013,SE0529,2025-01-01 13:19:19,validation
SIG0014,SE0172,2025-01-01 13:20:05,train
SIG0015,SE0172,2025-01-01 13:28:48,train
SIG0016,SE0140,2025-01-01 14:03:32,train
SIG0017,SE0140,2025-01-01 14:06:00,train
SIG0018,SE0140,2025-01-01 14:06:53,train
SIG0019,SE0140,2025-01-01 14:07:28,train
SIG0020,SE0140,2025-01-01 14:07:37,train
SIG0021,SE0238,2025-01-01 14:24:02,train
SIG0022,SE0238,2025-01-01 14:25:20,train
SIG0023,SE0144,2025-01-01 14:45:20,train
SIG0024,SE0144,2025-01-01 14:48:47,train
SIG0025,SE0144,2025-01-01 14:50:44,train
SIG0026,SE0226,2025-01-01 14:51:14,validation
SIG0027,SE0269,2025-01-01 15:06:20,validation
SIG0028,SE0456,2025-01-01 17:09:20,validation
SIG0029,SE0585,2025-01-01 17:29:34,train
SIG0030,SE0339,2025-01-01 19:17:48,train
SIG0031,SE0060,2025-01-01 19:23:00,train
SIG0032,SE0060,2025-01-01 19:24:26,train
SIG0033,SE0060,2025-01-01 19:27:03,train
SIG0034,SE0060,2025-01-01 19:30:18,train
SIG0035,SE0208,2025-01-01 20:52:25,train
SIG0036,SE0312,2025-01-01 21:42:21,train
SIG0037,SE0215,2025-01-02 01:31:50,train
SIG0038,SE0197,2025-01-02 05:39:27,test
SIG0039,SE0197,2025-01-02 05:41:03,test
SIG0040,SE0197,2025-01-02 05:43:31,test
SIG0041,SE0197,2025-01-02 05:45:48,test
SIG0042,SE0197,2025-01-02 05:48:59,test
SIG0043,SE0101,2025-01-02 10:30:59,train
SIG0044,SE0101,2025-01-02 10:34:31,train
SIG0045,SE0101,2025-01-02 10:39:21,train
SIG0046,SE0101,2025-01-02 10:42:11,train
SIG0047,SE0458,2025-01-02 12:58:35,validation
SIG0048,SE0463,2025-01-02 15:02:32,train
SIG0049,SE0148,2025-01-02 17:12:05,train
SIG0050,SE0148,2025-01-02 17:14:23,train
SIG0051,SE0148,2025-01-02 17:16:08,train
SIG0052,SE0290,2025-01-02 20:08:26,train
SIG0053,SE0290,2025-01-02 20:11:04,train
SIG0054,SE0591,2025-01-02 20:52:10,train
SIG0055,SE0593,2025-01-02 21:43:53,test
SIG0056,SE0224,2025-01-02 21:54:39,train
SIG0057,SE0229,2025-01-02 21:57:22,test
