impression_id,query_id,content_id,session_id,doctor_id,timestamp,first_event_timestamp,last_event_timestamp,split
IMP0001,Q429,C252,SE0440,D119,2025-01-01 00:05:55,,,train
IMP0002,Q429,C047,SE0440,D119,2025-01-01 00:05:56,,,train
IMP0003,Q429,C321,SE0440,D119,2025-01-01 00:05:58,,,train
IMP0004,Q429,C277,SE0440,D119,2025-01-01 00:06:02,,,train
IMP0005,Q429,C104,SE0440,D119,2025-01-01 00:06:06,,,train
IMP0006,Q429,C315,SE0440,D119,2025-01-01 00:06:06,,,train
IMP0007,Q429,C303,SE0440,D119,2025-01-01 00:06:07,,,train
IMP0008,Q429,C217,SE0440,D119,2025-01-01 00:06:07,,,train
IMP0009,Q429,C037,SE0440,D119,2025-01-01 00:06:10,2025-01-01 00:06:27,2025-01-01 00:06:27,train
IMP0010,Q448,C078,SE0796,D049,2025-01-01 01:34:58,,,train
IMP0011,Q448,C011,SE0796,D049,2025-01-01 01:34:58,,,train
IMP0012,Q448,C054,SE0796,D049,2025-01-01 01:34:58,,,train
IMP0013,Q448,C162,SE0796,D049,2025-01-01 01:34:59,,,train
IMP0014,Q448,C314,SE0796,D049,2025-01-01 01:35:02,,,train
IMP0015,Q448,C259,SE0796,D049,2025-01-01 01:35:04,,,train
IMP0016,Q448,C212,SE0796,D049,2025-01-01 01:35:04,,,train
IMP0017,Q448,C337,SE0796,D049,2025-01-01 01:35:05,,,train
IMP0018,Q448,C220,SE0796,D049,2025-01-01 01:35:14,,,train
IMP0019,Q146,C240,SE0152,D012,2025-01-01 01:41:35,,,train
IMP0020,Q146,C252,SE0152,D012,2025-01-01 01:41:40,2025-01-01 01:42:12,2025-01-01 01:42:12,train
IMP0021,Q146,C102,SE0152,D012,2025-01-01 01:41:44,,,train
IMP0022,Q146,C042,SE0152,D012,2025-01-01 01:41:52,,,train
IMP0023,Q146,C315,SE0152,D012,2025-01-01 01:41:52,,,train
IMP0024,Q146,C027,SE0152,D012,2025-01-01 01:41:53,,,train
IMP0025,Q146,C270,SE0152,D012,2025-01-01 01:41:54,,,train
IMP0026,Q146,C215,SE0152,D012,2025-01-01 01:41:54,2025-01-01 01:46:03,2025-01-01 01:46:03,train
IMP0027,Q146,C212,SE0152,D012,2025-01-01 01:41:55,2025-01-01 01:44:43,2025-01-01 01:44:43,train
IMP0028,Q146,C201,SE0152,D012,2025-01-01 01:41:59,2025-01-01 01:44:12,2025-01-01 01:44:12,train
IMP0029,Q146,C184,SE0152,D012,2025-01-01 01:42:00,,,train
IMP0030,Q146,C067,SE0152,D012,2025-01-01 01:42:02,,,train
IMP0031,Q314,C325,SE0635,D016,2025-01-01 01:49:54,,,test
IMP0032,Q314,C045,SE0635,D016,2025-01-01 01:49:56,,,test
IMP0033,Q314,C219,SE0635,D016,2025-01-01 01:49:58,,,test
IMP0034,Q314,C159,SE0635,D016,2025-01-01 01:50:01,,,test
IMP0035,Q314,C074,SE0635,D016,2025-01-01 01:50:01,,,test
IMP0036,Q314,C190,SE0635,D016,2025-01-01 01:50:02,2025-01-01 01:50:30,2025-01-01 01:50:30,test
IMP0037,Q314,C318,SE0635,D016,2025-01-01 01:50:04,,,test
IMP0038,Q161,C211,SE0356,D041,2025-01-01 06:09:18,,,test
IMP0039,Q161,C309,SE0356,D041,2025-01-01 06:09:19,,,test
IMP0040,Q161,C065,SE0356,D041,2025-01-01 06:09:27,,,test
IMP0041,Q161,C069,SE0356,D041,2025-01-01 06:09:28,,,test
IMP0042,Q161,C051,SE0356,D041,2025-01-01 06:09:29,,,test
IMP0043,Q161,C079,SE0356,D041,2025-01-01 06:09:30,,,test
IMP0044,Q161,C313,SE0356,D041,2025-01-01 06:09:31,,,test
IMP0045,Q161,C075,SE0356,D041,2025-01-01 06:09:33,,,test
IMP0046,Q161,C062,SE0356,D041,2025-01-01 06:09:35,,,test
IMP0047,Q161,C091,SE0356,D041,2025-01-01 06:09:37,,,test
IMP0048,Q161,C153,SE0356,D041,2025-01-01 06:09:37,,,test
IMP0049,Q161,C046,SE0356,D041,2025-01-01 06:09:39,2025-01-01 06:09:50,2025-01-01 06:09:50,test
IMP0050,Q053,C187,SE0681,D037,2025-01-01 06:41:33,,,validation
IMP0051,Q053,C038,SE0681,D037,2025-01-01 06:41:33,,,validation
IMP0052,Q053,C237,SE0681,D037,2025-01-01 06:41:33,,,validation
IMP0053,Q053,C075,SE0681,D037,2025-01-01 06:41:34,,,validation
IMP0054,Q053,C146,SE0681,D037,2025-01-01 06:41:35,,,validation
IMP0055,Q053,C259,SE0681,D037,2025-01-01 06:41:38,,,validation
IMP0056,Q053,C140,SE0681,D037,2025-01-01 06:41:40,,,validation
IMP0057,Q053,C173,SE0681,D037,2025-01-01 06:41:45,,,validation
IMP0058,Q262,C213,SE0444,D003,2025-01-01 08:24:00,,,train
IMP0059,Q262,C274,SE0444,D003,2025-01-01 08:24:06,,,train
IMP0060,Q262,C198,SE0444,D003,2025-01-01 08:24:06,,,train
IMP0061,Q262,C048,SE0444,D003,2025-01-01 08:24:12,,,train
IMP0062,Q262,C290,SE0444,D003,2025-01-01 08:24:14,2025-01-01 08:24:34,2025-01-01 08:24:34,train
IMP0063,Q262,C205,SE0444,D003,2025-01-01 08:24:14,,,train
IMP0064,Q262,C190,SE0444,D003,2025-01-01 08:24:17,,,train
IMP0065,Q262,C093,SE0444,D003,2025-01-01 08:24:18,,,train
IMP0066,Q262,C191,SE0444,D003,2025-01-01 08:24:21,,,train
IMP0067,Q262,C020,SE0444,D003,2025-01-01 08:24:22,,,train
IMP0068,Q262,C228,SE0444,D003,2025-01-01 08:24:24,,,train
IMP0069,Q173,C238,SE0715,D021,2025-01-01 08:41:18,,,train
IMP0070,Q173,C012,SE0715,D021,2025-01-01 08:41:19,,,train
IMP0071,Q173,C132,SE0715,D021,2025-01-01 08:41:20,,,train
IMP0072,Q173,C019,SE0715,D021,2025-01-01 08:41:22,,,train
IMP0073,Q173,C212,SE0715,D021,2025-01-01 08:41:24,,,train
IMP0074,Q296,C341,SE0748,D010,2025-01-01 08:52:31,,,train
IMP0075,Q296,C325,SE0748,D010,2025-01-01 08:52:31,,,train
IMP0076,Q296,C003,SE0748,D010,2025-01-01 08:52:31,,,train
IMP0077,Q296,C063,SE0748,D010,2025-01-01 08:52:32,,,train
IMP0078,Q296,C305,SE0748,D010,2025-01-01 08:52:35,,,train
IMP0079,Q296,C336,SE0748,D010,2025-01-01 08:52:37,,,train
IMP0080,Q296,C242,SE0748,D010,2025-01-01 08:52:39,,,train
IMP0081,Q213,C226,SE0397,D029,2025-01-01 09:48:00,,,test
IMP0082,Q213,C217,SE0397,D029,2025-01-01 09:48:07,,,test
IMP0083,Q213,C133,SE0397,D029,2025-01-01 09:48:09,,,test
IMP0084,Q213,C031,SE0397,D029,2025-01-01 09:48:09,2025-01-01 09:48:30,2025-01-01 09:48:30,test
IMP0085,Q213,C037,SE0397,D029,2025-01-01 09:48:09,,,test
IMP0086,Q213,C259,SE0397,D029,2025-01-01 09:48:14,,,test
IMP0087,Q213,C152,SE0397,D029,2025-01-01 09:48:15,,,test
IMP0088,Q004,C341,SE0664,D058,2025-01-01 10:03:21,,,train
IMP0089,Q004,C095,SE0664,D058,2025-01-01 10:03:21,,,train
IMP0090,Q004,C142,SE0664,D058,2025-01-01 10:03:21,,,train
IMP0091,Q004,C227,SE0664,D058,2025-01-01 10:03:21,,,train
IMP0092,Q004,C126,SE0664,D058,2025-01-01 10:03:21,,,train
IMP0093,Q004,C120,SE0664,D058,2025-01-01 10:03:21,,,train
IMP0094,Q004,C244,SE0664,D058,2025-01-01 10:03:22,,,train
IMP0095,Q004,C198,SE0664,D058,2025-01-01 10:03:25,,,train
IMP0096,Q004,C140,SE0664,D058,2025-01-01 10:03:26,,,train
IMP0097,Q004,C224,SE0664,D058,2025-01-01 10:03:35,,,train
IMP0098,Q012,C196,SE0472,D087,2025-01-01 10:23:38,,,validation
IMP0099,Q012,C174,SE0472,D087,2025-01-01 10:23:46,,,validation
IMP0100,Q012,C178,SE0472,D087,2025-01-01 10:23:47,,,validation
IMP0101,Q012,C092,SE0472,D087,2025-01-01 10:23:49,2025-01-01 10:24:14,2025-01-01 10:24:14,validation
IMP0102,Q012,C003,SE0472,D087,2025-01-01 10:23:50,,,validation
IMP0103,Q012,C103,SE0472,D087,2025-01-01 10:23:52,,,validation
IMP0104,Q012,C343,SE0472,D087,2025-01-01 10:23:55,,,validation
IMP0105,Q012,C183,SE0472,D087,2025-01-01 10:23:56,,,validation
IMP0106,Q202,C086,SE0172,D091,2025-01-01 13:15:53,,,train
IMP0107,Q202,C182,SE0172,D091,2025-01-01 13:15:59,2025-01-01 13:17:36,2025-01-01 13:17:36,train
IMP0108,Q202,C266,SE0172,D091,2025-01-01 13:16:02,,,train
IMP0109,Q202,C231,SE0172,D091,2025-01-01 13:16:08,,,train
IMP0110,Q202,C095,SE0172,D091,2025-01-01 13:16:11,2025-01-01 13:28:48,2025-01-01 13:28:48,train
IMP0111,Q202,C107,SE0172,D091,2025-01-01 13:16:11,,,train
IMP0112,Q202,C235,SE0172,D091,2025-01-01 13:16:14,2025-01-01 13:16:36,2025-01-01 13:16:36,train
IMP0113,Q202,C137,SE0172,D091,2025-01-01 13:16:14,,,train
IMP0114,Q202,C149,SE0172,D091,2025-01-01 13:16:17,2025-01-01 13:20:05,2025-01-01 13:20:05,train
IMP0115,Q202,C217,SE0172,D091,2025-01-01 13:16:20,,,train
IMP0116,Q202,C244,SE0172,D091,2025-01-01 13:16:23,,,train
IMP0117,Q154,C322,SE0529,D008,2025-01-01 13:18:48,,,validation
IMP0118,Q154,C303,SE0529,D008,2025-01-01 13:18:50,,,validation
IMP0119,Q154,C052,SE0529,D008,2025-01-01 13:18:53,,,validation
IMP0120,Q154,C242,SE0529,D008,2025-01-01 13:18:56,2025-01-01 13:19:19,2025-01-01 13:19:19,validation
IMP0121,Q154,C100,SE0529,D008,2025-01-01 13:18:56,,,validation
IMP0122,Q154,C203,SE0529,D008,2025-01-01 13:18:59,,,validation
IMP0123,Q154,C296,SE0529,D008,2025-01-01 13:19:00,,,validation
IMP0124,Q154,C152,SE0529,D008,2025-01-01 13:19:01,,,validation
IMP0125,Q154,C205,SE0529,D008,2025-01-01 13:19:04,,,validation
IMP0126,Q154,C089,SE0529,D008,2025-01-01 13:19:06,,,validation
IMP0127,Q154,C136,SE0529,D008,2025-01-01 13:19:08,,,validation
IMP0128,Q472,C087,SE0140,D109,2025-01-01 14:02:53,,,train
IMP0129,Q472,C330,SE0140,D109,2025-01-01 14:02:55,2025-01-01 14:07:37,2025-01-01 14:07:37,train
IMP0130,Q472,C169,SE0140,D109,2025-01-01 14:02:56,2025-01-01 14:06:00,2025-01-01 14:06:00,train
IMP0131,Q472,C265,SE0140,D109,2025-01-01 14:02:59,2025-01-01 14:06:53,2025-01-01 14:06:53,train
IMP0132,Q472,C192,SE0140,D109,2025-01-01 14:02:59,2025-01-01 14:07:28,2025-01-01 14:07:28,train
IMP0133,Q472,C211,SE0140,D109,2025-01-01 14:03:03,2025-01-01 14:03:32,2025-01-01 14:03:32,train
IMP0134,Q472,C039,SE0140,D109,2025-01-01 14:03:05,,,train
IMP0135,Q483,C190,SE0806,D099,2025-01-01 14:11:58,,,test
IMP0136,Q483,C104,SE0806,D099,2025-01-01 14:11:58,,,test
IMP0137,Q483,C238,SE0806,D099,2025-01-01 14:11:58,,,test
IMP0138,Q483,C265,SE0806,D099,2025-01-01 14:11:58,,,test
IMP0139,Q483,C191,SE0806,D099,2025-01-01 14:11:58,,,test
IMP0140,Q483,C084,SE0806,D099,2025-01-01 14:12:00,,,test
IMP0141,Q483,C291,SE0806,D099,2025-01-01 14:12:06,,,test
IMP0142,Q453,C326,SE0238,D079,2025-01-01 14:23:22,,,train
IMP0143,Q453,C312,SE0238,D079,2025-01-01 14:23:28,2025-01-01 14:24:02,2025-01-01 14:24:02,train
IMP0144,Q453,C273,SE0238,D079,2025-01-01 14:23:34,,,train
IMP0145,Q453,C299,SE0238,D079,2025-01-01 14:23:35,,,train
IMP0146,Q453,C141,SE0238,D079,2025-01-01 14:23:35,,,train
IMP0147,Q453,C007,SE0238,D079,2025-01-01 14:23:37,,,train
IMP0148,Q453,C338,SE0238,D079,2025-01-01 14:23:40,2025-01-01 14:25:20,2025-01-01 14:25:20,train
IMP0149,Q453,C164,SE0238,D079,2025-01-01 14:23:40,,,train
IMP0150,Q453,C212,SE0238,D079,2025-01-01 14:23:41,,,train
IMP0151,Q453,C134,SE0238,D079,2025-01-01 14:23:43,,,train
IMP0152,Q180,C251,SE0144,D010,2025-01-01 14:44:44,,,train
IMP0153,Q180,C089,SE0144,D010,2025-01-01 14:44:51,,,train
IMP0154,Q180,C226,SE0144,D010,2025-01-01 14:44:53,2025-01-01 14:45:20,2025-01-01 14:45:20,train
IMP0155,Q180,C143,SE0144,D010,2025-01-01 14:44:53,,,train
IMP0156,Q180,C141,SE0144,D010,2025-01-01 14:44:56,,,train
IMP0157,Q180,C046,SE0144,D010,2025-01-01 14:44:58,2025-01-01 14:48:47,2025-01-01 14:48:47,train
IMP0158,Q180,C283,SE0144,D010,2025-01-01 14:44:59,2025-01-01 14:50:44,2025-01-01 14:50:44,train
IMP0159,Q482,C029,SE0226,D098,2025-01-01 14:50:39,2025-01-01 14:51:14,2025-01-01 14:51:14,validation
IMP0160,Q482,C017,SE0226,D098,2025-01-01 14:50:43,,,validation
IMP0161,Q482,C196,SE0226,D098,2025-01-01 14:50:45,,,validation
IMP0162,Q482,C333,SE0226,D098,2025-01-01 14:50:49,,,validation
IMP0163,Q482,C046,SE0226,D098,2025-01-01 14:50:52,,,validation
IMP0164,Q482,C087,SE0226,D098,2025-01-01 14:50:53,,,validation
IMP0165,Q482,C264,SE0226,D098,2025-01-01 14:50:54,,,validation
IMP0166,Q482,C120,SE0226,D098,2025-01-01 14:50:57,,,validation
IMP0167,Q482,C183,SE0226,D098,2025-01-01 14:50:59,,,validation
IMP0168,Q482,C313,SE0226,D098,2025-01-01 14:51:00,,,validation
IMP0169,Q482,C316,SE0226,D098,2025-01-01 14:51:01,,,validation
IMP0170,Q482,C314,SE0226,D098,2025-01-01 14:51:03,,,validation
IMP0171,Q383,C310,SE0269,D030,2025-01-01 15:05:47,,,validation
IMP0172,Q383,C083,SE0269,D030,2025-01-01 15:05:53,,,validation
IMP0173,Q383,C124,SE0269,D030,2025-01-01 15:05:59,2025-01-01 15:06:20,2025-01-01 15:06:20,validation
IMP0174,Q383,C086,SE0269,D030,2025-01-01 15:06:01,,,validation
IMP0175,Q383,C042,SE0269,D030,2025-01-01 15:06:04,,,validation
IMP0176,Q383,C193,SE0269,D030,2025-01-01 15:06:07,,,validation
IMP0177,Q383,C229,SE0269,D030,2025-01-01 15:06:08,,,validation
