protocol,experiment,representation,n_queries,n_classes,macro_f1,macro_precision,macro_recall,weighted_f1,accuracy,macro_f1_delta_vs_phase4
row_stratified,T1-B0,word TF-IDF,362,11,0.9807645756436332,0.9910471237801748,0.9721416941034684,0.9833140398300916,0.9834254143646408,0.0
row_stratified,T1-E4,frozen embeddings + entity indicators/counts + contextual slots,362,11,0.9703229586727676,0.9785217052922864,0.964694401643554,0.9637527437881582,0.9640883977900552,-0.0104416169708656
row_stratified,T1-E1,word TF-IDF + supplied entity indicators/counts,362,11,0.9692915714745296,0.9845373800702956,0.9576138490671487,0.9718791241566582,0.9723756906077348,-0.0114730041691036
row_stratified,T1-E3,frozen multilingual sentence embeddings,362,11,0.9690057224659644,0.9774815157848074,0.9631535695942476,0.9609006570952192,0.9613259668508288,-0.0117588531776688
row_stratified,T1-E2,word TF-IDF + entity indicators/counts + contextual slots,362,11,0.9614314877510026,0.9705612993328512,0.954246251572872,0.9480323889974352,0.947513812154696,-0.0193330878926306
row_stratified,T1-P0,final-taxonomy prototype similarity,362,11,0.6831281947481198,0.7222975718595243,0.7566511022335038,0.696153347979686,0.7044198895027625,-0.2976363808955135
template_grouped,T1-E4,frozen embeddings + entity indicators/counts + contextual slots,354,10,0.842487531755405,0.878134275962838,0.8334291442109922,0.8349490156259698,0.8418079096045198,0.333384840874726
template_grouped,T1-E3,frozen multilingual sentence embeddings,354,10,0.7944113383215028,0.804336812132511,0.8203948165960661,0.7809096826012314,0.7796610169491526,0.2853086474408237
template_grouped,T1-E2,word TF-IDF + entity indicators/counts + contextual slots,354,10,0.6782759866324161,0.717934065934066,0.6774542931528548,0.6995832313435852,0.711864406779661,0.169173295751737
template_grouped,T1-P0,final-taxonomy prototype similarity,354,10,0.6514410142229318,0.6945273290454768,0.7323162124568543,0.6892867569735772,0.6977401129943502,0.1423383233422527
template_grouped,T1-E1,word TF-IDF + supplied entity indicators/counts,354,10,0.5135618397814414,0.6798076923076923,0.5044249186751538,0.536006204422624,0.5706214689265536,0.0044591489007623
template_grouped,T1-B0,word TF-IDF,354,10,0.509102690880679,0.5700049266653744,0.5017800918582457,0.522386822328242,0.5480225988700564,0.0
