cluster_id,n_queries,initial_semantic_intent,kappa_optimized_intent
0,216,Prophylaxis / Maintenance,Comparative Treatment Choice
1,34,Dosing / Administration,Dosing / Administration
2,14,Comparative Treatment Choice,Safety / Contraindication
3,21,Dosing / Administration,Dosing / Administration
4,10,Comparative Treatment Choice,Safety / Contraindication
5,17,Efficacy / Outcomes,Efficacy / Outcomes
6,88,Management / Treatment Selection,Mechanism / Background Knowledge
7,4,Comparative Treatment Choice,Safety / Contraindication
8,13,Efficacy / Outcomes,Efficacy / Outcomes
9,8,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment
10,33,Dosing / Administration,Dosing / Administration
11,11,Management / Treatment Selection,Management / Treatment Selection
12,7,Comparative Treatment Choice,Safety / Contraindication
13,4,Prophylaxis / Maintenance,Prophylaxis / Maintenance
14,20,Safety / Contraindication,Safety / Contraindication
