fold,label_level,n_train,n_test,n_train_templates,n_test_templates,template_overlap,macro_f1,macro_precision,macro_recall,weighted_f1,accuracy
1,subtype,289,73,83,44,36,1.0,1.0,1.0,1.0,1.0
1,top_level,289,73,83,44,36,1.0,1.0,1.0,1.0,1.0
2,subtype,289,73,80,50,39,0.9937164284990373,0.9954545454545454,0.9924242424242423,0.9861791970189826,0.9863013698630136
2,top_level,289,73,80,50,39,1.0,1.0,1.0,1.0,1.0
3,subtype,290,72,82,45,36,1.0,1.0,1.0,1.0,1.0
3,top_level,290,72,82,45,36,1.0,1.0,1.0,1.0,1.0
4,subtype,290,72,83,44,36,0.8806898364793102,0.8843262001156738,0.8815789473684211,0.9512087912087911,0.9583333333333334
4,top_level,290,72,83,44,36,0.8205128205128206,0.8095238095238096,0.8333333333333334,0.9797008547008548,0.9861111111111112
5,subtype,290,72,88,44,41,0.9798662298662297,0.9876395534290271,0.9742424242424242,0.9716383049716383,0.9722222222222222
5,top_level,290,72,88,44,41,0.9939595288432498,0.9957264957264957,0.9924242424242425,0.9860397999932883,0.9861111111111112
