label_level,label,precision,recall,f1,support,independent_template_groups,minimum_test_fold_support,interpretation
subtype,Management / Treatment Selection,1.0,1.0,1.0,50,20,10,reportable_with_small-sample_caution
subtype,Dosing / Administration,0.96875,0.9893617021276596,0.9789473684210527,94,16,18,reportable_with_small-sample_caution
subtype,Safety / Contraindication,0.9661016949152542,0.9661016949152542,0.9661016949152542,59,30,11,reportable_with_small-sample_caution
subtype,Interaction / Combination,1.0,0.9523809523809523,0.975609756097561,21,4,4,descriptive_only_low_template_diversity
subtype,Comparative Treatment Choice,1.0,1.0,1.0,23,4,4,descriptive_only_low_template_diversity
subtype,Monitoring / Response / Risk Assessment,1.0,1.0,1.0,8,1,1,descriptive_only_low_template_diversity
subtype,Efficacy / Outcomes,1.0,1.0,1.0,20,2,4,descriptive_only_low_template_diversity
subtype,Guideline / Evidence Lookup,1.0,0.8333333333333334,0.9090909090909091,6,3,1,descriptive_only_low_template_diversity
subtype,Treatment Change / Escalation,1.0,0.9523809523809523,0.975609756097561,21,4,4,descriptive_only_low_template_diversity
subtype,Prophylaxis / Maintenance,1.0,1.0,1.0,31,4,6,descriptive_only_low_template_diversity
subtype,Mechanism / Background Knowledge,0.9666666666666667,1.0,0.9830508474576272,29,3,5,descriptive_only_low_template_diversity
