weak_target_intent,Management / Treatment Selection,Dosing / Administration,Safety / Contraindication,Interaction / Combination,Comparative Treatment Choice,Efficacy / Outcomes,Guideline / Evidence Lookup,Treatment Change / Escalation,Prophylaxis / Maintenance,Mechanism / Background Knowledge
Management / Treatment Selection,35,0,6,0,0,0,0,0,7,2
Dosing / Administration,0,94,0,0,0,0,0,0,0,0
Safety / Contraindication,0,14,42,0,0,0,0,0,1,2
Interaction / Combination,5,0,0,10,6,0,0,0,0,0
Comparative Treatment Choice,0,0,0,0,23,0,0,0,0,0
Efficacy / Outcomes,0,0,0,0,0,20,0,0,0,0
Guideline / Evidence Lookup,1,0,0,0,0,0,5,0,0,0
Treatment Change / Escalation,0,0,0,0,0,0,0,21,0,0
Prophylaxis / Maintenance,12,0,0,0,0,0,0,0,19,0
Mechanism / Background Knowledge,0,0,0,0,0,0,0,0,0,29
