true_intent,predicted_intent,n_errors,true_intent_support,share_of_true_intent
Safety / Contraindication,Dosing / Administration,14,59,0.23728813559322035
Prophylaxis / Maintenance,Management / Treatment Selection,12,31,0.3870967741935484
Management / Treatment Selection,Prophylaxis / Maintenance,7,50,0.14
Interaction / Combination,Comparative Treatment Choice,6,21,0.2857142857142857
Management / Treatment Selection,Safety / Contraindication,6,50,0.12
Interaction / Combination,Management / Treatment Selection,5,21,0.23809523809523808
Management / Treatment Selection,Mechanism / Background Knowledge,2,50,0.04
Safety / Contraindication,Mechanism / Background Knowledge,2,59,0.03389830508474576
Guideline / Evidence Lookup,Management / Treatment Selection,1,6,0.16666666666666666
Safety / Contraindication,Prophylaxis / Maintenance,1,59,0.01694915254237288
