protocol,experiment,slice_type,slice_value,n_queries,n_true_classes,macro_f1,macro_precision,macro_recall,weighted_f1,accuracy
row_stratified,T1-B0,language,EN,162,11,0.9769329911476411,0.9875072073803576,0.968450741178014,0.9750272139237027,0.9753086419753086
row_stratified,T1-B0,language,ID,88,7,0.9878729080766433,0.9910714285714286,0.9857142857142858,0.9885206050316406,0.9886363636363636
row_stratified,T1-B0,language,MIXED,112,9,0.9958510754449175,0.9969135802469135,0.994949494949495,0.9910304852370034,0.9910714285714286
row_stratified,T1-B0,signal_agreement,prototype_cluster_against_rule,84,5,0.9813483663138518,0.9825925925925926,0.9804761904761905,0.9761576052418206,0.9761904761904762
row_stratified,T1-B0,signal_agreement,two_signal_including_rule,127,7,0.8285056446821153,0.8333333333333333,0.8348429951690821,0.9812127762104602,0.9763779527559056
row_stratified,T1-B0,signal_agreement,unanimous,151,6,0.9936371589914897,0.9901960784313726,0.9973958333333334,0.9934517517038244,0.9933774834437086
row_stratified,T1-B0,query_length,4-7 tokens,218,11,0.98530148164954,0.9888747616020344,0.9834916327453641,0.990745018179018,0.9908256880733946
row_stratified,T1-B0,query_length,8+ tokens,144,9,0.9803013707107274,0.9858858858858858,0.9761145287461077,0.9723376342089792,0.9722222222222222
template_grouped,T1-B0,language,EN,154,10,0.4973508387794102,0.5641505636070854,0.49186868686868684,0.5453235382734456,0.577922077922078
template_grouped,T1-B0,language,ID,88,7,0.43211089564030747,0.45683728036669213,0.46688675470188074,0.4808197358197359,0.5
template_grouped,T1-B0,language,MIXED,112,9,0.4777714272650374,0.5666431004074682,0.4694670797611974,0.5229451146957034,0.5446428571428571
template_grouped,T1-B0,signal_agreement,prototype_cluster_against_rule,84,5,0.3191344139731237,0.4547619047619048,0.3069073783359498,0.42601001149388246,0.4166666666666667
template_grouped,T1-B0,signal_agreement,two_signal_including_rule,127,7,0.3349676720513721,0.3540942028985507,0.3946942404825418,0.5071424098770853,0.5039370078740157
template_grouped,T1-B0,signal_agreement,unanimous,143,5,0.4653838225266797,0.5135323094755143,0.4635278748612707,0.6652271582341514,0.6643356643356644
template_grouped,T1-B0,query_length,4-7 tokens,210,10,0.4955323495349071,0.5199141417514489,0.5093868022524739,0.5776361824151375,0.6
template_grouped,T1-B0,query_length,8+ tokens,144,9,0.4389089305755972,0.5710633717551956,0.41540282011558244,0.4561500420875421,0.4722222222222222
row_stratified,T1-P0,language,EN,162,11,0.7959461848780733,0.7963728191000918,0.8352617079889808,0.8478837553914953,0.8518518518518519
row_stratified,T1-P0,language,ID,88,7,0.45888339638339637,0.4743421052631579,0.5327380952380952,0.651766805175896,0.6818181818181818
row_stratified,T1-P0,language,MIXED,112,9,0.38075884154831524,0.4093097326649958,0.5002597402597403,0.47623796594661255,0.5089285714285714
row_stratified,T1-P0,signal_agreement,prototype_cluster_against_rule,84,5,0.0,0.0,0.0,0.0,0.0
row_stratified,T1-P0,signal_agreement,two_signal_including_rule,127,7,0.7044909020518777,0.670436507936508,0.75,0.7944592291817181,0.8188976377952756
row_stratified,T1-P0,signal_agreement,unanimous,151,6,1.0,1.0,1.0,1.0,1.0
row_stratified,T1-P0,query_length,4-7 tokens,218,11,0.7450602989584131,0.7438940052576416,0.8101500489560192,0.7989718765700814,0.8027522935779816
row_stratified,T1-P0,query_length,8+ tokens,144,9,0.5085803252895759,0.5986790986790987,0.592649553175869,0.5360841920590906,0.5555555555555556
template_grouped,T1-P0,language,EN,154,10,0.7755408033658806,0.7760101010101009,0.8187878787878787,0.8399816128144302,0.8441558441558441
template_grouped,T1-P0,language,ID,88,7,0.45888339638339637,0.4743421052631579,0.5327380952380952,0.651766805175896,0.6818181818181818
template_grouped,T1-P0,language,MIXED,112,9,0.38075884154831524,0.4093097326649958,0.5002597402597403,0.47623796594661255,0.5089285714285714
template_grouped,T1-P0,signal_agreement,prototype_cluster_against_rule,84,5,0.0,0.0,0.0,0.0,0.0
template_grouped,T1-P0,signal_agreement,two_signal_including_rule,127,7,0.7044909020518777,0.670436507936508,0.75,0.7944592291817181,0.8188976377952756
template_grouped,T1-P0,signal_agreement,unanimous,143,5,1.0,1.0,1.0,1.0,1.0
template_grouped,T1-P0,query_length,4-7 tokens,210,10,0.7195663288542545,0.7182834057834058,0.7911650538516211,0.7913136623441799,0.7952380952380952
template_grouped,T1-P0,query_length,8+ tokens,144,9,0.5085803252895759,0.5986790986790987,0.592649553175869,0.5360841920590906,0.5555555555555556
row_stratified,T1-E1,language,EN,162,11,0.8820794213355612,0.8889727312652212,0.8775416502689232,0.9478784063376627,0.9567901234567902
row_stratified,T1-E1,language,ID,88,7,0.9829573934837094,0.9821428571428571,0.9857142857142858,0.9887161084529505,0.9886363636363636
row_stratified,T1-E1,language,MIXED,112,9,0.9916225749559082,0.9939939939939939,0.9898989898989901,0.9819657029478458,0.9821428571428571
row_stratified,T1-E1,signal_agreement,prototype_cluster_against_rule,84,5,0.7910641989589359,0.8023391812865497,0.7849206349206349,0.9332603486738826,0.9285714285714286
row_stratified,T1-E1,signal_agreement,two_signal_including_rule,127,7,0.8285056446821153,0.8333333333333333,0.8348429951690821,0.9812127762104602,0.9763779527559056
row_stratified,T1-E1,signal_agreement,unanimous,151,6,0.9936371589914897,0.9901960784313726,0.9973958333333334,0.9934517517038244,0.9933774834437086
row_stratified,T1-E1,query_length,4-7 tokens,218,11,0.9721871106404322,0.9862009648105906,0.9614137106674421,0.9813417758931106,0.981651376146789
row_stratified,T1-E1,query_length,8+ tokens,144,9,0.9639563812214331,0.9733174034249303,0.9609250398724082,0.9574220417055579,0.9583333333333334
template_grouped,T1-E1,language,EN,154,10,0.49438389017251155,0.5618466898954704,0.4939321789321789,0.5547584173080331,0.6038961038961039
template_grouped,T1-E1,language,ID,88,7,0.42754511693155933,0.47099649576429764,0.4887354941976791,0.5065722717411237,0.5454545454545454
template_grouped,T1-E1,language,MIXED,112,9,0.43709330197864316,0.5942258571568916,0.4391449509096568,0.5241844345714048,0.5446428571428571
