variable,groups,cramers_v,chi_square_p_value_naive,minimum_expected_cell,minimum_group_rate,maximum_group_rate,rate_range,clustered_rows_caveat
doctor_id,118,0.22429210481858783,8.48554930337076e-27,1.2517385257301807,0.0,0.8,0.8,True
content_source_type,12,0.11647316348013158,5.476156973028042e-16,22.11404728789986,0.03773584905660377,0.2628318584070796,0.22509600935047586,True
session_length,8,0.08937918402863608,4.890748081692351e-10,21.905424200278166,0.0,0.26991150442477874,0.26991150442477874,True
content_type,6,0.08309471171530627,1.638039020983207e-09,54.65924895688456,0.08396946564885496,0.2390265102129509,0.15505704456409594,True
query_intent,11,0.06201322926412961,0.0020532133548065283,56.95410292072323,0.11721611721611722,0.2703583061889251,0.15314218897280787,True
content_publication_year,6,0.05119643594567894,0.002053707561689106,188.38664812239222,0.17718715393134,0.23141762452107278,0.05423047058973279,True
week,5,0.03808073373513604,0.03382430868133617,206.32823365785814,0.1881377551020408,0.2348860257680872,0.04674827066604639,True
inferred_rank,12,0.03510157253932272,0.6349105111704004,21.905424200278166,0.18719211822660098,0.24108241082410825,0.05389029259750727,True
content_language,3,0.018184660685303396,0.304586130257204,245.75799721835884,0.19719771665801764,0.21444308445532437,0.017245367797306732,True
query_language,3,0.014651772865332084,0.4622013589772881,348.817802503477,0.20055710306406685,0.21411483253588517,0.013557729471818325,True
