content_id,content_type,content_source_type,content_language,content_publication_year,impressions,unique_queries,rank1_impressions,engaged,engagement_rate,rank1_share
C143,guideline,ministry_of_health,EN,2025,41,41,2,14,0.34146341463414637,0.04878048780487805
C111,article,journal,MIXED,2025,40,39,5,16,0.4,0.125
C037,clinical_summary,hospital_protocol,EN,2025,39,37,1,16,0.41025641025641024,0.02564102564102564
C212,article,journal,ID,2022,38,38,3,17,0.4473684210526316,0.07894736842105263
C052,clinical_summary,hospital_protocol,EN,2024,37,35,4,14,0.3783783783783784,0.10810810810810811
C075,clinical_summary,hospital_protocol,MIXED,2025,37,35,6,14,0.3783783783783784,0.16216216216216217
C277,drug_profile,pharmacology_reference,EN,2022,36,36,3,14,0.3888888888888889,0.08333333333333333
C249,clinical_summary,clinical_practice,ID,2022,36,35,1,12,0.3333333333333333,0.027777777777777776
C203,clinical_summary,clinical_practice,MIXED,2023,35,32,4,14,0.4,0.11428571428571428
C314,clinical_summary,hospital_protocol,EN,2020,34,34,1,13,0.38235294117647056,0.029411764705882353
C211,case_report,case_report,EN,2021,34,34,4,11,0.3235294117647059,0.11764705882352941
C226,article,research_paper,EN,2025,33,32,5,14,0.42424242424242425,0.15151515151515152
C149,clinical_summary,hospital_protocol,EN,2021,33,31,5,11,0.3333333333333333,0.15151515151515152
C180,article,journal,EN,2020,33,32,4,10,0.30303030303030304,0.12121212121212122
C228,drug_profile,drug_database,EN,2020,33,32,5,10,0.30303030303030304,0.15151515151515152
C274,article,journal,EN,2023,33,30,4,9,0.2727272727272727,0.12121212121212122
C189,guideline,professional_society,EN,2020,32,31,7,11,0.34375,0.21875
C095,clinical_summary,clinical_practice,EN,2020,32,32,4,9,0.28125,0.125
C295,article,research_paper,MIXED,2023,31,31,1,17,0.5483870967741935,0.03225806451612903
C301,case_report,case_report,EN,2020,31,30,2,17,0.5483870967741935,0.06451612903225806
C069,article,research_paper,EN,2023,31,30,4,16,0.5161290322580645,0.12903225806451613
C341,guideline,who,EN,2025,31,31,4,16,0.5161290322580645,0.12903225806451613
C109,clinical_summary,hospital_protocol,ID,2022,31,30,6,14,0.45161290322580644,0.1935483870967742
