doctor_id,impressions,sessions,unique_queries,engaged,engagement_rate,engagement_ci95_low,engagement_ci95_high
D082,10,1,1,0,0.0,-2.7755575615628914e-17,0.2775401687666166
D070,20,3,3,1,0.05,0.008881219432873136,0.23613589351256675
D099,54,6,6,3,0.05555555555555555,0.019072922503838907,0.15107451463482943
D102,17,2,2,1,0.058823529411764705,0.01046013064516424,0.269825452035628
D087,34,4,4,2,0.058823529411764705,0.016282313063842452,0.1909393688946371
D049,66,7,7,4,0.06060606060606061,0.023818229304678556,0.14573115100734177
D113,43,5,5,3,0.06976744186046512,0.024011153791962503,0.18609268553034927
D052,28,3,3,2,0.07142857142857142,0.019811647447770794,0.2264573842591786
D083,27,3,3,2,0.07407407407407407,0.020554221697383523,0.2336997729073062
D111,40,4,4,3,0.075,0.025835556771858226,0.19864530159097524
D056,64,7,7,5,0.078125,0.03383067809543547,0.1701975287864777
D060,25,3,3,2,0.08,0.02221993369109193,0.24966512122957818
D108,11,1,1,1,0.09090909090909091,0.01623175226282597,0.3773646254862038
D110,11,1,1,1,0.09090909090909091,0.01623175226282597,0.3773646254862038
D095,42,4,4,4,0.09523809523809523,0.0376616388283121,0.2206539522505333
D115,42,5,5,4,0.09523809523809523,0.0376616388283121,0.2206539522505333
D017,51,6,6,5,0.09803921568627451,0.04260744495307697,0.2097848995445307
D041,40,5,5,4,0.1,0.03957888759557486,0.23052074380473897
D054,47,5,5,5,0.10638297872340426,0.046304099555199416,0.22594539692012788
D059,18,2,2,2,0.1111111111111111,0.031018868453582787,0.3280024486660421
D037,80,9,9,9,0.1125,0.06032618694827016,0.20018410865677552
D035,53,6,6,6,0.11320754716981132,0.052929589110686695,0.22576770301339144
D068,70,7,7,8,0.11428571428571428,0.05906058386702606,0.20964431960202118
D028,26,3,3,3,0.11538461538461539,0.04003171821149494,0.28976293086898336
D075,50,6,6,6,0.12,0.05617523710624646,0.23805078886623582
D061,81,9,9,10,0.12345679012345678,0.06846042262503366,0.21255266529410033
D046,16,2,2,2,0.125,0.034976749337057134,0.3602333143674828
D022,32,4,4,4,0.125,0.04970053844474301,0.2806864978482796
D051,40,4,4,5,0.125,0.05459419773541284,0.26112420670238146
D034,55,7,7,7,0.12727272727272726,0.06304130417480197,0.24017274846822606
D065,38,5,5,5,0.13157894736842105,0.05753782875731436,0.2732717005149887
D011,120,14,14,16,0.13333333333333333,0.0837653717755315,0.20564949366548352
D092,21,2,2,3,0.14285714285714285,0.04980921798213492,0.346364941492295
D073,49,5,5,7,0.14285714285714285,0.07096333720544586,0.2666797318916292
D088,70,7,7,10,0.14285714285714285,0.07948856360443703,0.24338634701505113
D105,55,6,6,8,0.14545454545454545,0.07559199016771778,0.2616116208829674
D084,54,6,5,8,0.14814814814814814,0.07702971308229412,0.266003674652485
D032,94,10,9,14,0.14893617021276595,0.09083965063643759,0.23460065287454338
D119,40,5,5,6,0.15,0.07061091708507435,0.2907262603902003
D030,80,9,9,12,0.15,0.08793954037414209,0.2441342750110605
D008,153,17,16,23,0.1503267973856209,0.1023063933961076,0.2154766437573007
D072,13,2,2,2,0.15384615384615385,0.04325726318273798,0.4223517050863101
D018,71,8,8,11,0.15492957746478872,0.08877213299311604,0.2565117732836071
D055,45,5,5,7,0.15555555555555556,0.07745325311328677,0.28784190511248803
D005,167,18,18,26,0.15568862275449102,0.10851495315803454,0.21834688845431277
D016,69,8,8,11,0.15942028985507245,0.09141730642401869,0.26334700407986916
D027,75,8,8,12,0.16,0.09396421323774289,0.25916915797745316
D002,283,32,30,47,0.16607773851590105,0.12725042857178426,0.21384932822778735
D116,6,1,1,1,0.16666666666666666,0.03005258587173032,0.563509436563646
D058,40,4,4,7,0.175,0.08745302996883066,0.3195029205439244
D077,45,5,5,8,0.17777777777777778,0.0929427892585383,0.3133010684365414
D026,67,7,7,12,0.1791044776119403,0.10553487941259442,0.28747713612629794
D033,82,10,10,15,0.18292682926829268,0.1141092170763672,0.2801238820270978
D040,102,13,13,19,0.18627450980392157,0.12261984082072329,0.27270298120766634
D024,75,9,9,14,0.18666666666666668,0.11458005622312066,0.2892879525438247
D043,53,6,6,10,0.18867924528301888,0.10585211943149554,0.31358716447325025
D106,21,3,3,4,0.19047619047619047,0.07667440615177301,0.40000986539273287
D009,115,12,11,22,0.19130434782608696,0.12986500788825311,0.27270109691006666
D038,66,7,7,13,0.19696969696969696,0.11888527965041439,0.30839015504753065
D001,268,30,30,53,0.19776119402985073,0.15449005759146406,0.24957466245138443
D076,35,4,4,7,0.2,0.10042319445900802,0.35891936609462516
D036,65,7,7,13,0.2,0.12077845770945213,0.31270362289297426
D004,172,18,17,35,0.20348837209302326,0.15010863889106016,0.2698238457997069
D081,54,6,6,11,0.2037037037037037,0.1177393408658538,0.32902561722659174
D080,58,7,7,12,0.20689655172413793,0.12251364354883215,0.3276946304932366
D107,53,6,6,11,0.20754716981132076,0.12004475729322063,0.3345800245566921
D096,24,3,3,5,0.20833333333333334,0.0924468910478809,0.40470844485235474
D093,60,7,7,13,0.21666666666666667,0.13122921046407016,0.3362026834734252
D053,68,8,8,15,0.22058823529411764,0.1384889157967965,0.3325696352377016
D003,235,25,25,52,0.22127659574468084,0.1729237300803557,0.2785956032351136
D023,134,14,14,30,0.22388059701492538,0.16156310605767127,0.3015888016392795
D063,49,6,6,11,0.22448979591836735,0.1302483771472861,0.35879056187045744
D014,89,11,11,20,0.2247191011235955,0.1504438211830463,0.32177552876352933
D039,44,5,5,10,0.22727272727272727,0.12841810830185085,0.36992642867015674
D010,123,16,16,28,0.22764227642276422,0.16245354051668648,0.30932858774407335
D048,35,4,4,8,0.22857142857142856,0.12065736746179101,0.39017637780102
D019,109,12,12,25,0.22935779816513763,0.16045438082345992,0.316688800414665
D042,39,5,5,9,0.23076923076923078,0.1264566242878376,0.38336560457382957
