dimension,value,inventory_items,inventory_share,impressions,impression_share,representation_ratio
content_type,article,109,0.3159420289855073,2301,0.3200278164116829,1.0129320794681704
content_type,case_report,50,0.14492753623188406,968,0.13463143254520166,0.9289568845618914
content_type,clinical_summary,90,0.2608695652173913,1929,0.2682892906815021,1.028442280945758
content_type,drug_profile,35,0.10144927536231885,779,0.10834492350486787,1.0679713888336975
content_type,guideline,47,0.13623188405797101,951,0.13226703755215577,0.9708963394785902
content_type,review,14,0.04057971014492753,262,0.03643949930458971,0.8979733757202465
content_language,EN,193,0.5594202898550724,4085,0.5681502086230876,1.0156052952070738
content_language,ID,96,0.2782608695652174,1927,0.26801112656467313,0.963164986091794
content_language,MIXED,56,0.16231884057971013,1178,0.16383866481223922,1.0093632028611166
content_source_type,case_report,50,0.14492753623188406,968,0.13463143254520166,0.9289568845618914
content_source_type,clinical_practice,41,0.11884057971014493,822,0.11432545201668985,0.9620068523355609
content_source_type,drug_database,19,0.05507246376811594,442,0.06147426981919332,1.116243320401142
content_source_type,hospital_protocol,49,0.14202898550724638,1107,0.15396383866481225,1.0840311089665353
content_source_type,journal,51,0.14782608695652175,1130,0.1571627260083449,1.0631596171152744
content_source_type,meta_analysis,8,0.02318840579710145,156,0.021696801112656466,0.9356745479833101
content_source_type,ministry_of_health,10,0.028985507246376812,214,0.02976356050069541,1.0268428372739917
content_source_type,pharmacology_reference,16,0.0463768115942029,337,0.04687065368567455,1.0106484700973575
content_source_type,professional_society,16,0.0463768115942029,316,0.04394993045897079,0.9476703755215576
content_source_type,research_paper,58,0.1681159420289855,1171,0.16286509040333796,0.9687664860198552
content_source_type,systematic_review,6,0.017391304347826087,106,0.01474269819193324,0.8477051460361613
content_source_type,who,21,0.06086956521739131,421,0.05855354659248957,0.9619511225909
content_publication_year,2020,60,0.17391304347826086,1270,0.17663421418636996,1.0156467315716273
content_publication_year,2021,55,0.15942028985507245,1153,0.1603616133518776,1.0059046655708686
content_publication_year,2022,58,0.1681159420289855,1213,0.16870653685674547,1.0035130209582275
content_publication_year,2023,47,0.13623188405797101,903,0.12559109874826146,0.9218921078329831
content_publication_year,2024,64,0.1855072463768116,1346,0.18720445062586927,1.0091489916550764
content_publication_year,2025,61,0.17681159420289855,1305,0.18150208623087621,1.0265281926172507
query_intent,Comparative Treatment Choice,23,0.046,293,0.04075104311543811,0.8858922416399589
query_intent,Dosing / Administration,96,0.192,1478,0.20556328233657858,1.0706420955030134
query_intent,Efficacy / Outcomes,20,0.04,273,0.03796940194714882,0.9492350486787204
query_intent,Guideline / Evidence Lookup,59,0.118,745,0.10361613351877608,0.8781028264303058
query_intent,Interaction / Combination,21,0.042,307,0.04269819193324061,1.0166236174581098
query_intent,Management / Treatment Selection,58,0.116,750,0.1043115438108484,0.8992374466452447
query_intent,Mechanism / Background Knowledge,29,0.058,409,0.05688456189151599,0.9807683084744137
query_intent,Monitoring / Response / Risk Assessment,33,0.066,562,0.07816411682892907,1.1843048004383192
query_intent,Prophylaxis / Maintenance,31,0.062,515,0.07162726008344923,1.1552783884427296
query_intent,Safety / Contraindication,84,0.168,1049,0.14589707927677328,0.868434995695079
query_intent,Treatment Change / Escalation,46,0.092,809,0.1125173852573018,1.2230150571445848
query_language,EN,222,0.444,3005,0.4179415855354659,0.9413098773321303
query_language,ID,105,0.21,1672,0.2325452016689847,1.1073581031856414
query_language,MIXED,173,0.346,2513,0.34951321279554937,1.0101537942067902
