query_id,query_intent,query_language,sessions,impression_rows,observed_content,engaged_rows,judgment_coverage,has_observed_positive
Q017,Mechanism / Background Knowledge,MIXED,1,5,5,0,0.014492753623188406,False
Q036,Dosing / Administration,EN,1,5,5,0,0.014492753623188406,False
Q072,Prophylaxis / Maintenance,MIXED,1,5,5,0,0.014492753623188406,False
Q082,Treatment Change / Escalation,EN,1,5,5,0,0.014492753623188406,False
Q113,Guideline / Evidence Lookup,EN,1,5,5,0,0.014492753623188406,False
Q120,Guideline / Evidence Lookup,EN,1,5,5,0,0.014492753623188406,False
Q126,Treatment Change / Escalation,EN,1,5,5,0,0.014492753623188406,False
Q135,Dosing / Administration,EN,1,5,5,0,0.014492753623188406,False
Q173,Guideline / Evidence Lookup,MIXED,1,5,5,0,0.014492753623188406,False
Q186,Dosing / Administration,MIXED,1,5,5,0,0.014492753623188406,False
Q215,Interaction / Combination,EN,1,5,5,0,0.014492753623188406,False
Q274,Treatment Change / Escalation,ID,1,5,5,0,0.014492753623188406,False
Q326,Dosing / Administration,EN,1,5,5,0,0.014492753623188406,False
Q351,Safety / Contraindication,MIXED,1,5,5,0,0.014492753623188406,False
Q368,Management / Treatment Selection,MIXED,1,5,5,0,0.014492753623188406,False
Q381,Dosing / Administration,EN,1,5,5,0,0.014492753623188406,False
Q410,Management / Treatment Selection,ID,1,5,5,0,0.014492753623188406,False
Q434,Safety / Contraindication,EN,1,5,5,0,0.014492753623188406,False
Q445,Guideline / Evidence Lookup,MIXED,1,5,5,0,0.014492753623188406,False
Q484,Dosing / Administration,EN,1,5,5,0,0.014492753623188406,False
Q495,Safety / Contraindication,EN,1,5,5,0,0.014492753623188406,False
Q023,Guideline / Evidence Lookup,MIXED,1,6,6,0,0.017391304347826087,False
Q034,Management / Treatment Selection,EN,1,6,6,0,0.017391304347826087,False
Q041,Mechanism / Background Knowledge,EN,1,6,6,0,0.017391304347826087,False
Q048,Efficacy / Outcomes,EN,1,6,6,0,0.017391304347826087,False
Q050,Dosing / Administration,EN,1,6,6,0,0.017391304347826087,False
Q074,Mechanism / Background Knowledge,EN,1,6,6,0,0.017391304347826087,False
Q102,Safety / Contraindication,ID,1,6,6,0,0.017391304347826087,False
Q117,Treatment Change / Escalation,MIXED,1,6,6,0,0.017391304347826087,False
Q149,Mechanism / Background Knowledge,EN,1,6,6,0,0.017391304347826087,False
Q167,Treatment Change / Escalation,ID,1,6,6,0,0.017391304347826087,False
Q233,Safety / Contraindication,MIXED,1,6,6,0,0.017391304347826087,False
Q235,Comparative Treatment Choice,ID,1,6,6,0,0.017391304347826087,False
Q237,Monitoring / Response / Risk Assessment,MIXED,1,6,6,0,0.017391304347826087,False
Q275,Management / Treatment Selection,ID,1,6,6,0,0.017391304347826087,False
Q280,Management / Treatment Selection,ID,1,6,6,0,0.017391304347826087,False
Q288,Safety / Contraindication,ID,1,6,6,0,0.017391304347826087,False
Q328,Interaction / Combination,MIXED,1,6,6,0,0.017391304347826087,False
Q333,Safety / Contraindication,MIXED,1,6,6,0,0.017391304347826087,False
Q347,Dosing / Administration,EN,1,6,6,0,0.017391304347826087,False
Q353,Efficacy / Outcomes,MIXED,1,6,6,0,0.017391304347826087,False
Q360,Safety / Contraindication,EN,1,6,6,0,0.017391304347826087,False
Q377,Guideline / Evidence Lookup,EN,1,6,6,0,0.017391304347826087,False
Q465,Prophylaxis / Maintenance,EN,1,6,6,0,0.017391304347826087,False
Q479,Safety / Contraindication,EN,1,6,6,0,0.017391304347826087,False
Q013,Safety / Contraindication,MIXED,1,7,7,0,0.020289855072463767,False
Q016,Safety / Contraindication,EN,1,7,7,0,0.020289855072463767,False
Q029,Efficacy / Outcomes,MIXED,1,7,7,0,0.020289855072463767,False
Q045,Treatment Change / Escalation,EN,1,7,7,0,0.020289855072463767,False
Q047,Efficacy / Outcomes,EN,1,7,7,0,0.020289855072463767,False
Q052,Guideline / Evidence Lookup,MIXED,1,7,7,0,0.020289855072463767,False
Q084,Management / Treatment Selection,ID,1,7,7,0,0.020289855072463767,False
Q127,Management / Treatment Selection,EN,1,7,7,0,0.020289855072463767,False
Q162,Safety / Contraindication,EN,1,7,7,0,0.020289855072463767,False
Q177,Efficacy / Outcomes,EN,1,7,7,0,0.020289855072463767,False
Q182,Safety / Contraindication,ID,1,7,7,0,0.020289855072463767,False
Q206,Dosing / Administration,ID,1,7,7,0,0.020289855072463767,False
Q217,Management / Treatment Selection,ID,1,7,7,0,0.020289855072463767,False
