slice_type,slice_value,impressions,engaged,engagement_rate,engagement_ci95_low,engagement_ci95_high,click_rate,scroll_deep_rate,save_bookmark_rate,return_visit_rate,median_dwell_engaged
query_intent,Comparative Treatment Choice,293,64,0.21843003412969283,0.17492906861649593,0.2692189214226361,0.14334470989761092,0.05460750853242321,0.013651877133105802,0.006825938566552901,21.5
query_intent,Dosing / Administration,1478,314,0.2124492557510149,0.19235460293672862,0.2340348303198354,0.13193504736129905,0.060216508795669824,0.011502029769959404,0.008795669824086604,28.5
query_intent,Efficacy / Outcomes,273,32,0.11721611721611722,0.08426415441856458,0.16079150195677788,0.07692307692307693,0.03296703296703297,0.007326007326007326,0.0,32.0
query_intent,Guideline / Evidence Lookup,745,166,0.22281879194630871,0.19440122869442109,0.2540802659233993,0.15302013422818792,0.056375838926174496,0.012080536912751677,0.0013422818791946308,23.5
query_intent,Interaction / Combination,307,83,0.2703583061889251,0.22373941894316612,0.32265334187134526,0.18892508143322476,0.05537459283387622,0.02280130293159609,0.003257328990228013,17.0
query_intent,Management / Treatment Selection,750,171,0.228,0.1994043878650103,0.25936785288158687,0.14,0.068,0.017333333333333333,0.0026666666666666666,21.0
query_intent,Mechanism / Background Knowledge,409,75,0.18337408312958436,0.14887540421213474,0.2237653374185536,0.11246943765281174,0.05134474327628362,0.014669926650366748,0.004889975550122249,22.0
query_intent,Monitoring / Response / Risk Assessment,562,105,0.18683274021352314,0.15677232089072804,0.2211454568053622,0.10676156583629894,0.05338078291814947,0.019572953736654804,0.0071174377224199285,28.0
query_intent,Prophylaxis / Maintenance,515,103,0.2,0.16773062206150605,0.23671188987277222,0.12427184466019417,0.06601941747572816,0.007766990291262136,0.001941747572815534,23.0
query_intent,Safety / Contraindication,1049,224,0.21353670162059105,0.18980562307202328,0.2393582701480015,0.1344137273593899,0.0667302192564347,0.010486177311725452,0.0019065776930409914,20.0
query_intent,Treatment Change / Escalation,809,163,0.20148331273176762,0.17528313060900913,0.23050515581727615,0.1211372064276885,0.07045735475896168,0.00865265760197775,0.0012360939431396785,23.0
query_language,EN,3005,638,0.21231281198003327,0.19806311176776287,0.22729713318497902,0.13211314475873545,0.06156405990016639,0.013976705490848586,0.004658901830282862,23.5
query_language,ID,1672,358,0.21411483253588517,0.19511920159203688,0.23442115592146562,0.13995215311004786,0.05921052631578947,0.011961722488038277,0.0029904306220095694,20.0
query_language,MIXED,2513,504,0.20055710306406685,0.18536373419211136,0.21666458574665634,0.12455232789494627,0.060485475527258255,0.011539992041384799,0.003979307600477517,25.0
content_type,article,2301,550,0.2390265102129509,0.22204426963760393,0.2568787071083902,0.14471968709256844,0.07127335940895263,0.018252933507170794,0.0047805302042590175,25.0
content_type,case_report,968,162,0.16735537190082644,0.14516375466051137,0.19217681606624074,0.11776859504132231,0.0371900826446281,0.008264462809917356,0.004132231404958678,19.5
content_type,clinical_summary,1929,390,0.20217729393468117,0.18485432294674317,0.2206841340069979,0.12752721617418353,0.05961638154484189,0.012441679626749611,0.002592016588906169,24.0
content_type,drug_profile,779,177,0.22721437740693196,0.19916854838160378,0.2579374613143551,0.14120667522464697,0.07317073170731707,0.007702182284980745,0.005134788189987163,20.0
content_type,guideline,951,199,0.2092534174553102,0.1845951477133992,0.23625119999495364,0.13249211356466878,0.05993690851735016,0.011566771819137749,0.005257623554153523,21.0
content_type,review,262,22,0.08396946564885496,0.056104098477261145,0.12385870644115643,0.05725190839694656,0.026717557251908396,0.0,0.0,22.0
language_pair,EN -> EN,1696,378,0.22287735849056603,0.20370903256438175,0.24329826505676125,0.1403301886792453,0.0660377358490566,0.012971698113207548,0.003537735849056604,22.0
language_pair,EN -> ID,833,150,0.18007202881152462,0.15546502475673069,0.20761635169491804,0.11404561824729892,0.04441776710684274,0.01680672268907563,0.004801920768307323,17.0
language_pair,EN -> MIXED,476,110,0.23109243697478993,0.19546691942708982,0.27102368914040414,0.13445378151260504,0.07563025210084033,0.012605042016806723,0.008403361344537815,40.5
language_pair,ID -> EN,952,206,0.21638655462184875,0.19139621520026728,0.24365662200623223,0.148109243697479,0.05357142857142857,0.011554621848739496,0.0031512605042016808,16.0
language_pair,ID -> ID,455,98,0.2153846153846154,0.18007717792695072,0.2554578738207548,0.12307692307692308,0.07692307692307693,0.013186813186813187,0.002197802197802198,26.5
language_pair,ID -> MIXED,265,54,0.2037735849056604,0.15967038002846565,0.25634261795994095,0.13962264150943396,0.04905660377358491,0.011320754716981131,0.0037735849056603774,24.0
language_pair,MIXED -> EN,1437,292,0.20320111343075853,0.18320026007645765,0.22478462875518082,0.12734864300626306,0.05845511482254697,0.013221990257480862,0.0041753653444676405,25.0
language_pair,MIXED -> ID,639,132,0.20657276995305165,0.17698081116896125,0.2396717514529973,0.1298904538341158,0.06103286384976526,0.010954616588419406,0.004694835680751174,23.0
language_pair,MIXED -> MIXED,437,80,0.18306636155606407,0.14962226943742682,0.22203412596627373,0.10755148741418764,0.06636155606407322,0.006864988558352402,0.002288329519450801,24.5
