dimension,impressions,engaged,engagement_rate,engagement_ci95_low,engagement_ci95_high,click_rate,scroll_deep_rate,save_bookmark_rate,return_visit_rate,median_dwell_engaged,matched
icd10_code,7054,1461,0.20711652962857954,0.19782024189149716,0.2167316517072484,0.13070598242132123,0.05982421321236178,0.012758718457612702,0.0038276155372838107,22.0,False
icd10_code,136,39,0.2867647058823529,0.21743611719676445,0.3678089028830972,0.16176470588235295,0.10294117647058823,0.007352941176470588,0.014705882352941176,29.0,True
atc_code,7073,1470,0.207832602855931,0.19853617654403102,0.21744623007080685,0.1309204015269334,0.06022904001131062,0.012583062349780856,0.0041000989679061215,23.0,False
atc_code,117,30,0.2564102564102564,0.1859156601937761,0.3423924721050348,0.15384615384615385,0.08547008547008547,0.017094017094017096,0.0,22.0,True
atc_class,7043,1463,0.20772398125798666,0.19841000439717135,0.21735662784840085,0.13119409342609684,0.059917648729234704,0.012494675564390175,0.004117563538264944,22.0,False
atc_class,147,37,0.25170068027210885,0.1884773574985733,0.32757126569290707,0.1360544217687075,0.09523809523809523,0.02040816326530612,0.0,25.0,True
therapeutic_area,6721,1401,0.20845112334474036,0.19890765659927714,0.21832768765031826,0.13167683380449338,0.060556464811783964,0.012200565392054753,0.004017259336408272,23.0,False
therapeutic_area,469,99,0.21108742004264391,0.1765771499221127,0.25029222874507734,0.1257995735607676,0.06183368869936034,0.019189765458422176,0.0042643923240938165,24.0,True
language_exact,4602,944,0.20512820512820512,0.19370983077340992,0.21703846764831608,0.13102998696219034,0.05649717514124294,0.01303780964797914,0.0045632333767926985,23.0,False
language_exact,2588,556,0.21483771251931993,0.1994427285099912,0.23107802553608933,0.13176197836166925,0.06800618238021638,0.011978361669242658,0.0030911901081916537,23.0,True
