protocol,split,scheme,threshold,metric,lower,upper,queries
temporal,train,relevance_grade,1,recall@5,0.01051980077745384,0.032363257207644956,245
temporal,train,relevance_grade,1,recall@10,0.021538346290897313,0.051698250728862964,245
temporal,train,relevance_grade,1,mrr@10,0.03962402818270165,0.09087155814706831,245
temporal,train,relevance_grade,1,ndcg@10,0.018649818539188557,0.04119891720586555,245
temporal,validation,relevance_grade,1,recall@5,0.0061836283185840715,0.0659347345132743,113
temporal,validation,relevance_grade,1,recall@10,0.025,0.10575774336283182,113
temporal,validation,relevance_grade,1,mrr@10,0.011637519314510463,0.03780306222784097,113
temporal,validation,relevance_grade,1,ndcg@10,0.009147046974725617,0.042395673258301694,113
temporal,test,relevance_grade,1,recall@5,0.0011363636363636363,0.020757575757575756,110
temporal,test,relevance_grade,1,recall@10,0.004847222222222222,0.03159154040404039,110
temporal,test,relevance_grade,1,mrr@10,0.004632034632034631,0.04348511904761904,110
temporal,test,relevance_grade,1,ndcg@10,0.0021565203245374033,0.021015286621367677,110
query,train,relevance_grade,1,recall@5,0.015573431416591793,0.046383413821503426,212
query,train,relevance_grade,1,recall@10,0.02927668276430069,0.06871626048218028,212
query,train,relevance_grade,1,mrr@10,0.04808157382449836,0.10758016060197662,212
query,train,relevance_grade,1,ndcg@10,0.022521242298364188,0.0485256212035531,212
query,validation,relevance_grade,1,recall@5,0.0,0.013333333333333334,70
query,validation,relevance_grade,1,recall@10,0.010476190476190476,0.049523809523809526,70
query,validation,relevance_grade,1,mrr@10,0.0063265306122448975,0.06486876417233557,70
query,validation,relevance_grade,1,ndcg@10,0.003176140231388787,0.02177624990077482,70
query,test,relevance_grade,1,recall@5,0.0029411764705882353,0.022795430672268902,68
query,test,relevance_grade,1,recall@10,0.008718487394957983,0.03363197362278244,68
query,test,relevance_grade,1,mrr@10,0.01288515406162465,0.061207983193277284,68
query,test,relevance_grade,1,ndcg@10,0.003972758351539743,0.02539869426551156,68
query_dedup,train,relevance_grade,1,recall@5,0.012663248006557866,0.0417568838959684,213
query_dedup,train,relevance_grade,1,recall@10,0.02409265779864371,0.06192749087115282,213
query_dedup,train,relevance_grade,1,mrr@10,0.03906112601535137,0.0914352317609359,213
query_dedup,train,relevance_grade,1,ndcg@10,0.018611213212683546,0.0407009980652917,213
query_dedup,validation,relevance_grade,1,recall@5,0.005797101449275362,0.04059178743961346,69
query_dedup,validation,relevance_grade,1,recall@10,0.012560386473429951,0.06473429951690822,69
query_dedup,validation,relevance_grade,1,mrr@10,0.02163561076604555,0.13043478260869565,69
query_dedup,validation,relevance_grade,1,ndcg@10,0.008177270580998397,0.05284332463271674,69
query_dedup,test,relevance_grade,1,recall@5,0.001838235294117647,0.01927521008403361,68
query_dedup,test,relevance_grade,1,recall@10,0.015108543417366945,0.047420926704014904,68
query_dedup,test,relevance_grade,1,mrr@10,0.014866509103641457,0.04782927754435107,68
query_dedup,test,relevance_grade,1,ndcg@10,0.006659054526548027,0.02507856674268565,68
