experiment,entity_bonus,entity_penalty,context_bonus,context_penalty,intent_bonus
legacy:hybrid,0.0,0.0,0.0,0.0,0.0
legacy:intent_only,0.0,0.0,0.0,0.0,0.1
legacy:signed_only,0.2,0.2,0.2,0.0,0.0
legacy:signed_plus_intent,0.2,0.2,0.05,0.0,0.5
legacy:all_terms_nonzero,0.2,0.2,0.05,0.05,0.5
legacy:prior_signed_plus_intent,0.2,0.2,0.2,0.0,0.5
legacy:fixed_all_005_intent_020,0.05,0.05,0.05,0.05,0.2
legacy:r_e7_equivalent,0.5,0.0,0.5,0.0,0.5
legacy:all_terms_minus_entity_bonus,0.0,0.2,0.05,0.05,0.5
legacy:all_terms_minus_entity_penalty,0.2,0.0,0.05,0.05,0.5
legacy:all_terms_minus_context_bonus,0.2,0.2,0.0,0.05,0.5
legacy:all_terms_minus_context_penalty,0.2,0.2,0.05,0.0,0.5
legacy:all_terms_minus_intent_bonus,0.2,0.2,0.05,0.05,0.0
repaired:hybrid,0.0,0.0,0.0,0.0,0.0
repaired:intent_only,0.0,0.0,0.0,0.0,0.1
repaired:signed_only,0.2,0.2,0.2,0.0,0.0
repaired:signed_plus_intent,0.2,0.2,0.05,0.0,0.5
repaired:all_terms_nonzero,0.2,0.2,0.05,0.05,0.5
repaired:prior_signed_plus_intent,0.2,0.2,0.2,0.0,0.5
repaired:fixed_all_005_intent_020,0.05,0.05,0.05,0.05,0.2
repaired:r_e7_equivalent,0.5,0.0,0.5,0.0,0.5
repaired:all_terms_minus_entity_bonus,0.0,0.2,0.05,0.05,0.5
repaired:all_terms_minus_entity_penalty,0.2,0.0,0.05,0.05,0.5
repaired:all_terms_minus_context_bonus,0.2,0.2,0.0,0.05,0.5
repaired:all_terms_minus_context_penalty,0.2,0.2,0.05,0.0,0.5
repaired:all_terms_minus_intent_bonus,0.2,0.2,0.05,0.05,0.0
