protocol,split,candidate,reference,delta_ndcg,lower,upper,positive_queries,improved,worsened,unchanged
temporal,validation,legacy:intent_only,legacy:hybrid,-0.0018717572255184702,-0.00913088746426472,0.003888270470372356,113,4,5,104
temporal,validation,legacy:intent_only,legacy:signed_only,-0.003883640745739985,-0.011127237516715788,0.0014496519700330703,113,3,7,103
temporal,validation,legacy:intent_only,legacy:r_e7_equivalent,-0.00788519649940773,-0.02121596597166794,0.0018309285724937051,113,4,6,103
temporal,validation,legacy:signed_only,legacy:hybrid,0.002011883520221514,-0.006756896941557662,0.011263944531604063,113,7,4,102
temporal,validation,legacy:signed_only,legacy:r_e7_equivalent,-0.004001555753667746,-0.017531629567621207,0.00759092837799259,113,5,6,102
temporal,validation,legacy:signed_plus_intent,legacy:hybrid,0.005954303911596077,-0.007191652400546292,0.023599447606729784,113,7,7,99
temporal,validation,legacy:signed_plus_intent,legacy:signed_only,0.003942420391374563,-0.0075319760735348,0.0172916709964755,113,7,6,100
temporal,validation,legacy:signed_plus_intent,legacy:r_e7_equivalent,-5.913536229318235e-05,-0.0011263750036071235,0.001437053509134608,113,1,3,109
temporal,validation,legacy:all_terms_nonzero,legacy:hybrid,0.005954303911596077,-0.007191652400546292,0.023599447606729784,113,7,7,99
temporal,validation,legacy:all_terms_nonzero,legacy:signed_only,0.003942420391374563,-0.0075319760735348,0.0172916709964755,113,7,6,100
temporal,validation,legacy:all_terms_nonzero,legacy:r_e7_equivalent,-5.913536229318235e-05,-0.0011263750036071235,0.001437053509134608,113,1,3,109
temporal,validation,legacy:prior_signed_plus_intent,legacy:hybrid,0.005699848084391175,-0.007725559156500109,0.023114944076254466,113,6,8,99
temporal,validation,legacy:prior_signed_plus_intent,legacy:signed_only,0.003687964564169661,-0.007928435313489636,0.0172336667900638,113,6,6,101
temporal,validation,legacy:prior_signed_plus_intent,legacy:r_e7_equivalent,-0.00031359118949808487,-0.0009130526238576934,0.0,113,0,2,111
temporal,validation,legacy:fixed_all_005_intent_020,legacy:hybrid,-0.0006994795440361376,-0.008535987394899896,0.006631836182460801,113,5,5,103
temporal,validation,legacy:fixed_all_005_intent_020,legacy:signed_only,-0.002711363064257652,-0.009646277268107527,0.0021445944336548296,113,3,6,104
temporal,validation,legacy:fixed_all_005_intent_020,legacy:r_e7_equivalent,-0.0067129188179253976,-0.017922050803306225,0.0017780549113513738,113,3,5,105
temporal,validation,legacy:r_e7_equivalent,legacy:hybrid,0.006013439273889259,-0.007393344498628435,0.023403290254244067,113,6,7,100
temporal,validation,legacy:r_e7_equivalent,legacy:signed_only,0.004001555753667746,-0.007590928377992592,0.017531629567621203,113,6,5,102
temporal,validation,legacy:all_terms_minus_entity_bonus,legacy:hybrid,-0.00045840004696968815,-0.012132848088931891,0.01370221834986538,113,7,7,99
temporal,validation,legacy:all_terms_minus_entity_bonus,legacy:signed_only,-0.0024702835671912035,-0.014115124045839873,0.00990804651513891,113,5,6,102
temporal,validation,legacy:all_terms_minus_entity_bonus,legacy:r_e7_equivalent,-0.006471839320858949,-0.016052055714879748,0.00038374673686612597,113,1,5,107
temporal,validation,legacy:all_terms_minus_entity_penalty,legacy:hybrid,-0.00045840004696968815,-0.012132848088931891,0.01370221834986538,113,7,7,99
temporal,validation,legacy:all_terms_minus_entity_penalty,legacy:signed_only,-0.0024702835671912035,-0.014115124045839873,0.00990804651513891,113,5,6,102
temporal,validation,legacy:all_terms_minus_entity_penalty,legacy:r_e7_equivalent,-0.006471839320858949,-0.016052055714879748,0.00038374673686612597,113,1,5,107
temporal,validation,legacy:all_terms_minus_context_bonus,legacy:hybrid,0.0042320360170810265,-0.010297340136150059,0.021997213418173657,113,7,7,99
temporal,validation,legacy:all_terms_minus_context_bonus,legacy:signed_only,0.0022201524968595127,-0.010443101633469119,0.017093177533978255,113,7,6,100
temporal,validation,legacy:all_terms_minus_context_bonus,legacy:r_e7_equivalent,-0.001781403256808233,-0.008716606092929043,0.0028310353085574075,113,2,3,108
temporal,validation,legacy:all_terms_minus_context_penalty,legacy:hybrid,0.005954303911596077,-0.007191652400546292,0.023599447606729784,113,7,7,99
temporal,validation,legacy:all_terms_minus_context_penalty,legacy:signed_only,0.003942420391374563,-0.0075319760735348,0.0172916709964755,113,7,6,100
temporal,validation,legacy:all_terms_minus_context_penalty,legacy:r_e7_equivalent,-5.913536229318235e-05,-0.0011263750036071235,0.001437053509134608,113,1,3,109
temporal,validation,legacy:all_terms_minus_intent_bonus,legacy:hybrid,0.0017782547550193822,-0.0068509759909753205,0.01111439371339127,113,7,4,102
temporal,validation,legacy:all_terms_minus_intent_bonus,legacy:signed_only,-0.00023362876520213174,-0.0007008862956063952,0.0,113,0,1,112
temporal,validation,legacy:all_terms_minus_intent_bonus,legacy:r_e7_equivalent,-0.004235184518869877,-0.017591661377924946,0.00725597882941202,113,5,7,101
temporal,validation,repaired:intent_only,repaired:hybrid,-0.0018717572255184702,-0.00913088746426472,0.003888270470372356,113,4,5,104
temporal,validation,repaired:intent_only,repaired:signed_only,-0.003883640745739985,-0.011127237516715788,0.0014496519700330703,113,3,7,103
temporal,validation,repaired:intent_only,repaired:r_e7_equivalent,-0.00788519649940773,-0.02121596597166794,0.0018309285724937051,113,4,6,103
temporal,validation,repaired:signed_only,repaired:hybrid,0.002011883520221514,-0.006756896941557662,0.011263944531604063,113,7,4,102
temporal,validation,repaired:signed_only,repaired:r_e7_equivalent,-0.004001555753667746,-0.017531629567621207,0.00759092837799259,113,5,6,102
temporal,validation,repaired:signed_plus_intent,repaired:hybrid,0.005954303911596077,-0.007191652400546292,0.023599447606729784,113,7,7,99
temporal,validation,repaired:signed_plus_intent,repaired:signed_only,0.003942420391374563,-0.0075319760735348,0.0172916709964755,113,7,6,100
temporal,validation,repaired:signed_plus_intent,repaired:r_e7_equivalent,-5.913536229318235e-05,-0.0011263750036071235,0.001437053509134608,113,1,3,109
temporal,validation,repaired:all_terms_nonzero,repaired:hybrid,0.005954303911596077,-0.007191652400546292,0.023599447606729784,113,7,7,99
temporal,validation,repaired:all_terms_nonzero,repaired:signed_only,0.003942420391374563,-0.0075319760735348,0.0172916709964755,113,7,6,100
temporal,validation,repaired:all_terms_nonzero,repaired:r_e7_equivalent,-5.913536229318235e-05,-0.0011263750036071235,0.001437053509134608,113,1,3,109
temporal,validation,repaired:prior_signed_plus_intent,repaired:hybrid,0.005699848084391175,-0.007725559156500109,0.023114944076254466,113,6,8,99
temporal,validation,repaired:prior_signed_plus_intent,repaired:signed_only,0.003687964564169661,-0.007928435313489636,0.0172336667900638,113,6,6,101
temporal,validation,repaired:prior_signed_plus_intent,repaired:r_e7_equivalent,-0.00031359118949808487,-0.0009130526238576934,0.0,113,0,2,111
temporal,validation,repaired:fixed_all_005_intent_020,repaired:hybrid,-0.0006994795440361376,-0.008535987394899896,0.006631836182460801,113,5,5,103
temporal,validation,repaired:fixed_all_005_intent_020,repaired:signed_only,-0.002711363064257652,-0.009646277268107527,0.0021445944336548296,113,3,6,104
temporal,validation,repaired:fixed_all_005_intent_020,repaired:r_e7_equivalent,-0.0067129188179253976,-0.017922050803306225,0.0017780549113513738,113,3,5,105
temporal,validation,repaired:r_e7_equivalent,repaired:hybrid,0.006013439273889259,-0.007393344498628435,0.023403290254244067,113,6,7,100
temporal,validation,repaired:r_e7_equivalent,repaired:signed_only,0.004001555753667746,-0.007590928377992592,0.017531629567621203,113,6,5,102
temporal,validation,repaired:all_terms_minus_entity_bonus,repaired:hybrid,-0.00045840004696968815,-0.012132848088931891,0.01370221834986538,113,7,7,99
temporal,validation,repaired:all_terms_minus_entity_bonus,repaired:signed_only,-0.0024702835671912035,-0.014115124045839873,0.00990804651513891,113,5,6,102
temporal,validation,repaired:all_terms_minus_entity_bonus,repaired:r_e7_equivalent,-0.006471839320858949,-0.016052055714879748,0.00038374673686612597,113,1,5,107
temporal,validation,repaired:all_terms_minus_entity_penalty,repaired:hybrid,-0.00045840004696968815,-0.012132848088931891,0.01370221834986538,113,7,7,99
temporal,validation,repaired:all_terms_minus_entity_penalty,repaired:signed_only,-0.0024702835671912035,-0.014115124045839873,0.00990804651513891,113,5,6,102
