protocol,split,experiment,scheme,threshold,dimension,value,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
temporal,validation,legacy:hybrid,relevance_grade,1,query_language,EN,59,47,12,0.01694915254237288,0.0,0.0,0.0,0.0,0.03389830508474576,0.02127659574468085,0.02127659574468085,0.0070921985815602835,0.010638297872340425,0.03389830508474576,0.04559270516717325,0.06382978723404255,0.015602836879432626,0.022618054670538852,0.03389830508474576,0.05357142857142857,0.10638297872340426,0.022695035460992906,0.025234462927323825,0.030508474576271195,0.08282674772036475,0.14893617021276595,0.025749092266449485,0.03462318209290773
temporal,validation,legacy:hybrid,relevance_grade,1,query_language,ID,29,28,1,0.06896551724137931,0.0,0.0,0.0,0.0,0.04597701149425287,0.0,0.0,0.0,0.0,0.04827586206896552,0.04017857142857143,0.07142857142857142,0.016071428571428573,0.01518823845494985,0.04482758620689656,0.12589285714285714,0.21428571428571427,0.03732993197278911,0.043835089147507826,0.04137931034482759,0.14375000000000002,0.25,0.04030612244897959,0.04975279506769459
temporal,validation,legacy:hybrid,relevance_grade,1,query_language,MIXED,51,38,13,0.0,0.0,0.0,0.0,0.0,0.0261437908496732,0.013157894736842105,0.02631578947368421,0.008771929824561403,0.00362383621547614,0.03137254901960784,0.013157894736842105,0.02631578947368421,0.008771929824561403,0.00362383621547614,0.03137254901960784,0.04385964912280702,0.07894736842105263,0.014327485380116961,0.012170762115104407,0.02843137254901961,0.04824561403508772,0.07894736842105263,0.014327485380116961,0.01451261375664858
temporal,validation,legacy:hybrid,relevance_grade,1,query_intent,Comparative Treatment Choice,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal,validation,legacy:hybrid,relevance_grade,1,query_intent,Dosing / Administration,26,21,5,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.023809523809523808,0.047619047619047616,0.015873015873015872,0.006557417913718729,0.03076923076923077,0.023809523809523808,0.047619047619047616,0.015873015873015872,0.006557417913718729,0.030769230769230767,0.02976190476190476,0.09523809523809523,0.023809523809523808,0.007593337150408512,0.028846153846153848,0.03571428571428571,0.09523809523809523,0.023809523809523808,0.009647180789763147
temporal,validation,legacy:hybrid,relevance_grade,1,query_intent,Efficacy / Outcomes,4,3,1,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0625,0.08333333333333333,0.3333333333333333,0.017543859649122806,0.03973204623495562
temporal,validation,legacy:hybrid,relevance_grade,1,query_intent,Guideline / Evidence Lookup,16,13,3,0.0625,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.037500000000000006,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.034375,0.0,0.0,0.0,0.0
temporal,validation,legacy:hybrid,relevance_grade,1,query_intent,Interaction / Combination,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.05714285714285715,0.2857142857142857,0.04421768707482993,0.01980085003876956,0.04285714285714286,0.1285714285714286,0.42857142857142855,0.05612244897959184,0.043471673719516636
temporal,validation,legacy:hybrid,relevance_grade,1,query_intent,Management / Treatment Selection,11,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018181818181818184,0.1,0.1,0.02,0.03868528072345416,0.03636363636363637,0.2,0.2,0.03428571428571429,0.0720186140567875,0.02727272727272727,0.2,0.2,0.03428571428571429,0.0720186140567875
temporal,validation,legacy:hybrid,relevance_grade,1,query_intent,Mechanism / Background Knowledge,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
