protocol,split,experiment,scheme,threshold,dimension,value,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
temporal,validation,R-B0,relevance_grade,1,query_language,EN,59,47,12,0.03389830508474576,0.0,0.0,0.0,0.0,0.028248587570621465,0.02127659574468085,0.02127659574468085,0.0070921985815602835,0.010638297872340425,0.030508474576271188,0.05053191489361702,0.0851063829787234,0.02092198581560284,0.021979074319218396,0.03389830508474577,0.05053191489361702,0.0851063829787234,0.02092198581560284,0.02194247980801745,0.03135593220338983,0.057446808510638304,0.10638297872340426,0.02198581560283688,0.023746344345647333
temporal,validation,R-B0,relevance_grade,1,query_language,ID,29,28,1,0.034482758620689655,0.0,0.0,0.0,0.0,0.06896551724137931,0.04017857142857143,0.07142857142857142,0.023809523809523808,0.019575367138341782,0.055172413793103454,0.04732142857142857,0.10714285714285714,0.030952380952380953,0.02314741692485057,0.05172413793103449,0.14375000000000002,0.25,0.0522108843537415,0.05588962805580435,0.039655172413793106,0.14821428571428572,0.25,0.0522108843537415,0.06062503688981026
temporal,validation,R-B0,relevance_grade,1,query_language,MIXED,51,38,13,0.0392156862745098,0.0,0.0,0.0,0.0,0.0326797385620915,0.0,0.0,0.0,0.0,0.023529411764705885,0.0,0.0,0.0,0.0,0.03529411764705883,0.017543859649122806,0.05263157894736842,0.005555555555555556,0.003035003958461805,0.03137254901960785,0.017543859649122806,0.05263157894736842,0.005555555555555556,0.003035003958461805
temporal,validation,R-B0,relevance_grade,1,query_intent,Comparative Treatment Choice,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal,validation,R-B0,relevance_grade,1,query_intent,Dosing / Administration,26,21,5,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.03076923076923077,0.005952380952380952,0.047619047619047616,0.011904761904761904,0.0013343925389200642,0.03461538461538462,0.02976190476190476,0.09523809523809523,0.016666666666666666,0.005043528278306636,0.02884615384615385,0.03571428571428571,0.09523809523809523,0.016666666666666666,0.007335034870818017
temporal,validation,R-B0,relevance_grade,1,query_intent,Efficacy / Outcomes,4,3,1,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
temporal,validation,R-B0,relevance_grade,1,query_intent,Guideline / Evidence Lookup,16,13,3,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.05625,0.0,0.0,0.0,0.0,0.037500000000000006,0.0,0.0,0.0,0.0
temporal,validation,R-B0,relevance_grade,1,query_intent,Interaction / Combination,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.028571428571428574,0.14285714285714285,0.028571428571428574,0.014789415517460871,0.042857142857142864,0.1285714285714286,0.42857142857142855,0.07278911564625849,0.05104438941927419,0.04285714285714286,0.1285714285714286,0.42857142857142855,0.07278911564625849,0.05104438941927419
temporal,validation,R-B0,relevance_grade,1,query_intent,Management / Treatment Selection,11,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02727272727272728,0.2,0.2,0.02857142857142857,0.06666666666666668,0.022727272727272728,0.2,0.2,0.02857142857142857,0.06666666666666668
temporal,validation,R-B0,relevance_grade,1,query_intent,Mechanism / Background Knowledge,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
