protocol,split,configuration,eligible_queries,mean_delta,lower_95,upper_95,improved_queries,worsened_queries,unchanged_queries
temporal,validation,with_assisted_intent,113,0.004194071718008325,-0.00728056726374365,0.01767938625687457,6,4,103
temporal,validation,with_predicted_hard_intent,113,0.004194071718008325,-0.00728056726374365,0.01767938625687457,6,4,103
temporal,validation,with_predicted_soft_intent,113,0.003568761224470238,-0.0018203764102058346,0.01216983656610893,3,1,109
temporal,validation,phase11_R-E7,113,0.004194071718008325,-0.00728056726374365,0.01767938625687457,6,4,103
temporal,test,with_assisted_intent,110,0.008351000692584775,0.0003571269771139075,0.018872655501684064,9,2,99
temporal,test,with_predicted_hard_intent,110,0.007464486243498108,-0.0003366823610431013,0.017633116042270924,8,2,100
temporal,test,with_predicted_soft_intent,110,9.900809351209143e-05,0.0,0.0002970242805362743,1,0,109
temporal,test,phase11_R-E7,110,0.008351000692584775,0.0003571269771139075,0.018872655501684064,9,2,99
query,validation,with_assisted_intent,70,0.0013206450200336979,-0.011776757717709271,0.015366300152637522,6,3,61
query,validation,with_predicted_hard_intent,70,0.0005145798970432495,-0.012235439534029651,0.01468599851452584,5,3,62
query,validation,with_predicted_soft_intent,70,-0.0033585856983417077,-0.010075757095025123,0.0,0,1,69
query,validation,phase11_R-E7,70,0.0013206450200336979,-0.011776757717709271,0.015366300152637522,6,3,61
query,test,with_assisted_intent,68,0.005969772150031993,-0.00026577550258300624,0.014357069911827848,6,1,61
query,test,with_predicted_hard_intent,68,0.005953607192182412,-0.00028194046043258746,0.014356665787881612,6,1,61
query,test,with_predicted_soft_intent,68,0.003023702678996861,0.0,0.009005086110596174,2,0,66
query,test,phase11_R-E7,68,0.005969772150031993,-0.00026577550258300624,0.014357069911827848,6,1,61
query_dedup,validation,with_assisted_intent,69,0.00596299983847482,-0.005959746250345895,0.019706325399432307,5,2,62
query_dedup,validation,with_predicted_hard_intent,69,0.00596299983847482,-0.005959746250345895,0.019706325399432307,5,2,62
query_dedup,validation,with_predicted_soft_intent,69,0.002914815814158937,0.0,0.008744447442476811,1,0,68
query_dedup,validation,phase11_R-E7,69,0.00596299983847482,-0.005959746250345895,0.019706325399432307,5,2,62
query_dedup,test,with_assisted_intent,68,-0.00019361440731842003,-0.009922429924514352,0.008379305049961608,6,4,58
query_dedup,test,with_predicted_hard_intent,68,-0.00019361440731842003,-0.009922429924514352,0.008379305049961608,6,4,58
query_dedup,test,with_predicted_soft_intent,68,-0.0033913457042514653,-0.010372102891937626,0.0001980657791832299,1,1,66
query_dedup,test,phase11_R-E7,68,-0.00019361440731842003,-0.009922429924514352,0.008379305049961608,6,4,58
