slice_family,slice_name,split,system,system_label,global_queries,queries,eligible_queries,no_positive_queries,support_flag,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10
overall,All queries,validation,bm25,BM25,500,139,113,26,adequate,0.038129496402877695,0.06253687315634218,0.11504424778761062,0.023507515100435455,0.02399589634478664
overall,All queries,validation,bm25_structured,BM25 + structure,500,139,113,26,adequate,0.03597122302158273,0.07028023598820059,0.11504424778761062,0.027784801236128667,0.02966193128906403
overall,All queries,validation,hybrid,Hybrid without intent,500,139,113,26,adequate,0.03597122302158274,0.06622418879056047,0.10619469026548672,0.024652338811630845,0.027269732282327
overall,All queries,validation,hybrid_intent,Hybrid + predicted intent,500,139,113,26,adequate,0.030215827338129497,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.03146380400033533
overall,All queries,test,bm25,BM25,500,139,110,29,adequate,0.02877697841726619,0.016085858585858585,0.06363636363636363,0.02016233766233766,0.010211669509839696
overall,All queries,test,bm25_structured,BM25 + structure,500,139,110,29,adequate,0.033093525179856115,0.03154040404040404,0.08181818181818182,0.023888888888888883,0.01476862857167422
overall,All queries,test,hybrid,Hybrid without intent,500,139,110,29,adequate,0.031654676258992806,0.020631313131313132,0.06363636363636363,0.02090909090909091,0.011048473301497105
overall,All queries,test,hybrid_intent,Hybrid + predicted intent,500,139,110,29,adequate,0.0316546762589928,0.043459595959595955,0.1,0.027662337662337656,0.018512959544995215
language,English,validation,bm25,BM25,222,59,47,12,adequate,0.03389830508474577,0.05053191489361702,0.0851063829787234,0.02092198581560284,0.02194247980801745
language,English,validation,bm25_structured,BM25 + structure,222,59,47,12,adequate,0.03050847457627119,0.06914893617021277,0.0851063829787234,0.021867612293144205,0.02945536495736945
language,English,validation,hybrid,Hybrid without intent,222,59,47,12,adequate,0.03559322033898306,0.0726950354609929,0.10638297872340426,0.024290780141843972,0.03138911171972128
language,English,validation,hybrid_intent,Hybrid + predicted intent,222,59,47,12,adequate,0.025423728813559327,0.047872340425531915,0.06382978723404255,0.03900709219858156,0.03601447646008172
language,English,test,bm25,BM25,222,70,52,18,adequate,0.025714285714285717,0.016666666666666666,0.057692307692307696,0.030448717948717948,0.014066782389999479
language,English,test,bm25_structured,BM25 + structure,222,70,52,18,adequate,0.02857142857142857,0.035897435897435895,0.07692307692307693,0.032692307692307694,0.018604277199716756
language,English,test,hybrid,Hybrid without intent,222,70,52,18,adequate,0.030000000000000002,0.035897435897435895,0.07692307692307693,0.032692307692307694,0.018604277199716756
language,English,test,hybrid_intent,Hybrid + predicted intent,222,70,52,18,adequate,0.030000000000000002,0.05897435897435897,0.11538461538461539,0.021978021978021973,0.02278953016334867
language,Bahasa Indonesia,validation,bm25,BM25,105,29,28,1,adequate,0.05172413793103449,0.14375000000000002,0.25,0.05221088435374149,0.055889628055804344
language,Bahasa Indonesia,validation,bm25_structured,BM25 + structure,105,29,28,1,adequate,0.05172413793103449,0.14375000000000002,0.25,0.05637755102040815,0.06370674087413443
language,Bahasa Indonesia,validation,hybrid,Hybrid without intent,105,29,28,1,adequate,0.051724137931034496,0.12142857142857143,0.17857142857142858,0.03966836734693877,0.05080657710299797
language,Bahasa Indonesia,validation,hybrid_intent,Hybrid + predicted intent,105,29,28,1,adequate,0.04482758620689656,0.1142857142857143,0.14285714285714285,0.05718537414965986,0.06136225975736487
language,Bahasa Indonesia,test,bm25,BM25,105,25,20,5,adequate,0.04,0.00833333333333333,0.05,0.00625,0.002084608475387055
