feature,standardized_coefficient,absolute_coefficient
content_type_review,-0.13299368987680477,0.13299368987680477
content_type_article,0.12480669911577598,0.12480669911577598
log_word_count,-0.10304778518865931,0.10304778518865931
context_constraint_count,0.09193489675278842,0.09193489675278842
content_type_case_report,-0.09043320802994759,0.09043320802994759
structured_conflict_rate,0.07200702035996011,0.07200702035996011
disease_hierarchical_match,-0.06785940288763778,0.06785940288763778
year_distance,-0.061086020188325214,0.061086020188325214
recency_conflict,0.060148115158260615,0.060148115158260615
dense_x_entity_coverage,-0.05757709464007847,0.05757709464007847
bm25_x_entity_coverage,0.057333307263947246,0.057333307263947246
bm25_score,0.05351942941482901,0.05351942941482901
route_conflict,0.05311203562528197,0.05311203562528197
content_type_clinical_summary,-0.05287056577005546,0.05287056577005546
therapeutic_area_match,-0.04899684809868895,0.04899684809868895
context_match_count,-0.04477658292382363,0.04477658292382363
entity_x_predicted_intent,0.044088739932706594,0.044088739932706594
route_match,0.04380985296807163,0.04380985296807163
comparison_context_match,0.04220945447917678,0.04220945447917678
year_match,-0.0420648412227932,0.0420648412227932
context_conflict_rate,-0.04088040453998432,0.04088040453998432
recency_match,-0.03818239409282452,0.03818239409282452
publication_year_centered,-0.0367572672022239,0.0367572672022239
age_group_conflict,-0.033670371073580424,0.033670371073580424
content_type_drug_profile,0.03306378764032107,0.03306378764032107
content_type_guideline,0.03290878712721625,0.03290878712721625
molecule_match,0.03109040166173192,0.03109040166173192
drug_class_match,0.027789017723510733,0.027789017723510733
context_conflict_count,0.02554046775019073,0.02554046775019073
structured_score,0.025345738106555223,0.025345738106555223
language_compatible,-0.024236622712480733,0.024236622712480733
dose_context_match,-0.02235988382838691,0.02235988382838691
prior_failure_context_match,-0.019836440795313777,0.019836440795313777
disease_match,0.019495585087456094,0.019495585087456094
year_conflict,-0.01787733080206294,0.01787733080206294
entity_x_context_coverage,-0.012862994441413199,0.012862994441413199
context_coverage,0.012398096162485026,0.012398096162485026
predicted_intent_compatibility,-0.011643703545321175,0.011643703545321175
hepatic_context_match,0.009635779756728411,0.009635779756728411
pregnancy_match,-0.006718474654195163,0.006718474654195163
entity_augmented_coverage,-0.006579994964743482,0.006579994964743482
entity_augmented_match_count,-0.006579994964743482,0.006579994964743482
phase12_baseline_score,0.005835969851624647,0.005835969851624647
entity_coverage,-0.0037749115049771726,0.0037749115049771726
entity_exact_match_count,-0.0037749115049771726,0.0037749115049771726
entity_conflict_count,0.0037749115049770096,0.0037749115049770096
entity_conflict_rate,0.0037749115049770096,0.0037749115049770096
molecule_hierarchical_match,0.0023173458541374736,0.0023173458541374736
dense_similarity,-0.00101294108180111,0.00101294108180111
age_group_match,0.0,0.0
entity_query_count,0.0,0.0
pregnancy_conflict,0.0,0.0
renal_context_conflict,0.0,0.0
renal_context_match,0.0,0.0
renal_exact_match,0.0,0.0
