split,repaired_experiment,legacy_experiment,legacy_ndcg@10,repaired_ndcg@10,delta_ndcg@10
validation,repaired_bonuses_only,bonuses_only,0.026321948777266,0.026321948777266003,3.469446951953614e-18
test,repaired_bonuses_only,bonuses_only,0.0151122907819045,0.015112290781904592,9.194034422677078e-17
validation,repaired_penalties_only,penalties_only,0.0261006824297157,0.02610068242971572,2.0816681711721685e-17
test,repaired_penalties_only,penalties_only,0.0151122907819045,0.015112290781904592,9.194034422677078e-17
validation,repaired_both,both,0.0274622482466675,0.02746224824666759,9.020562075079397e-17
test,repaired_both,both,0.0139319613066781,0.013931961306678162,6.245004513516506e-17
validation,repaired_fixed_bonuses,fixed_bonuses,0.0257660827713675,0.025766082771367542,4.163336342344337e-17
test,repaired_fixed_bonuses,fixed_bonuses,0.016838359584839,0.016838359584839035,3.469446951953614e-17
validation,repaired_fixed_penalties,fixed_penalties,0.0257660827713675,0.025766082771367542,4.163336342344337e-17
test,repaired_fixed_penalties,fixed_penalties,0.016838359584839,0.016838359584839035,3.469446951953614e-17
validation,repaired_fixed_both,fixed_both,0.0248992168151713,0.02489921681517132,2.0816681711721685e-17
test,repaired_fixed_both,fixed_both,0.016818790156245,0.016818790156245007,6.938893903907228e-18
