protocol,split,candidate,reference,delta_ndcg,lower,upper,positive_queries,improved,worsened,unchanged
temporal,validation,repaired_bonuses_only,hybrid,0.0008715840508199318,-0.0072683843974119524,0.009536359798854548,113,7,5,101
temporal,validation,repaired_penalties_only,hybrid,0.0006503177032696489,-0.007539751819044909,0.009396542654011015,113,7,4,102
temporal,validation,repaired_both,hybrid,0.002011883520221514,-0.006756896941557662,0.011263944531604063,113,7,4,102
temporal,validation,repaired_both_minus_entity_bonus,hybrid,0.0008715840508199318,-0.0072683843974119524,0.009536359798854548,113,7,5,101
temporal,validation,repaired_both_minus_entity_penalty,hybrid,0.0008715840508199318,-0.0072683843974119524,0.009536359798854548,113,7,5,101
temporal,validation,repaired_both_minus_context_bonus,hybrid,-0.0007798410531035187,-0.011316024877799756,0.010064818791871152,113,7,4,102
temporal,validation,repaired_both_minus_context_penalty,hybrid,0.002011883520221514,-0.006756896941557662,0.011263944531604063,113,7,4,102
temporal,validation,repaired_fixed_bonuses,hybrid,0.00031571804492146893,-0.007036314739119106,0.008031617514142119,113,5,3,105
temporal,validation,repaired_fixed_penalties,hybrid,0.00031571804492146893,-0.007036314739119106,0.008031617514142119,113,5,3,105
temporal,validation,repaired_fixed_both,hybrid,-0.0005511479112747539,-0.00831796878865429,0.007757109571800247,113,4,3,106
temporal,validation,repaired_both_minus_entity_bonus,repaired_both,-0.0011402994694015823,-0.0038507150331423745,0.0004361705440547885,113,1,3,109
temporal,validation,repaired_both_minus_entity_penalty,repaired_both,-0.0011402994694015823,-0.0038507150331423745,0.0004361705440547885,113,1,3,109
temporal,validation,repaired_both_minus_context_bonus,repaired_both,-0.0027917245733250335,-0.0083751737199751,0.0,113,0,1,112
temporal,validation,repaired_both_minus_context_penalty,repaired_both,0.0,0.0,0.0,113,0,0,113
temporal,validation,repaired_fixed_both,repaired_fixed_bonuses,-0.0008668659561962229,-0.003802820810297759,0.0012279882341257123,113,1,2,110
temporal,test,repaired_bonuses_only,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,110,1,2,107
temporal,test,repaired_penalties_only,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,110,1,2,107
temporal,test,repaired_both,hybrid,-0.002576672500512686,-0.006357505003534517,0.00023757061627392956,110,1,4,105
temporal,test,repaired_both_minus_entity_bonus,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,110,1,2,107
temporal,test,repaired_both_minus_entity_penalty,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,110,1,2,107
