protocol,split,candidate,reference,delta_ndcg,lower,upper,positive_queries,improved,worsened,unchanged
temporal,validation,bonuses_only,hybrid,0.0008715840508199318,-0.0072683843974119524,0.009536359798854548,113,7,5,101
temporal,validation,penalties_only,hybrid,0.0006503177032696489,-0.007539751819044909,0.009396542654011015,113,7,4,102
temporal,validation,both,hybrid,0.002011883520221514,-0.006756896941557662,0.011263944531604063,113,7,4,102
temporal,validation,both_minus_entity_bonus,hybrid,0.0008715840508199318,-0.0072683843974119524,0.009536359798854548,113,7,5,101
temporal,validation,both_minus_entity_penalty,hybrid,0.0008715840508199318,-0.0072683843974119524,0.009536359798854548,113,7,5,101
temporal,validation,both_minus_context_bonus,hybrid,-0.0007798410531035187,-0.011316024877799756,0.010064818791871152,113,7,4,102
temporal,validation,both_minus_context_penalty,hybrid,0.002011883520221514,-0.006756896941557662,0.011263944531604063,113,7,4,102
temporal,validation,fixed_bonuses,hybrid,0.00031571804492146893,-0.007036314739119106,0.008031617514142119,113,5,3,105
temporal,validation,fixed_penalties,hybrid,0.00031571804492146893,-0.007036314739119106,0.008031617514142119,113,5,3,105
temporal,validation,fixed_both,hybrid,-0.0005511479112747539,-0.00831796878865429,0.007757109571800247,113,4,3,106
temporal,validation,both_minus_entity_bonus,both,-0.0011402994694015823,-0.0038507150331423745,0.0004361705440547885,113,1,3,109
temporal,validation,both_minus_entity_penalty,both,-0.0011402994694015823,-0.0038507150331423745,0.0004361705440547885,113,1,3,109
temporal,validation,both_minus_context_bonus,both,-0.0027917245733250335,-0.0083751737199751,0.0,113,0,1,112
temporal,validation,both_minus_context_penalty,both,0.0,0.0,0.0,113,0,0,113
temporal,validation,fixed_both,fixed_bonuses,-0.0008668659561962229,-0.003802820810297759,0.0012279882341257123,113,1,2,110
temporal,test,bonuses_only,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,110,1,2,107
temporal,test,penalties_only,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,110,1,2,107
temporal,test,both,hybrid,-0.002576672500512686,-0.006357505003534517,0.00023757061627392956,110,1,4,105
temporal,test,both_minus_entity_bonus,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,110,1,2,107
temporal,test,both_minus_entity_penalty,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,110,1,2,107
temporal,test,both_minus_context_bonus,hybrid,-0.0015755332538621312,-0.005729208375302615,0.0020793948902070574,110,2,4,104
temporal,test,both_minus_context_penalty,hybrid,-0.002576672500512686,-0.006357505003534517,0.00023757061627392956,110,1,4,105
temporal,test,fixed_bonuses,hybrid,0.00032972577764818955,-1.3802832993819509e-05,0.001067912229975675,110,2,1,107
temporal,test,fixed_penalties,hybrid,0.00032972577764818955,-1.3802832993819509e-05,0.001067912229975675,110,2,1,107
temporal,test,fixed_both,hybrid,0.00031015634905416065,-5.294169018187734e-05,0.0010419414626685406,110,2,1,107
temporal,test,both_minus_entity_bonus,both,0.001180329475226429,-0.00037857563877047735,0.003680831421636537,110,2,1,107
temporal,test,both_minus_entity_penalty,both,0.001180329475226429,-0.00037857563877047735,0.003680831421636537,110,2,1,107
temporal,test,both_minus_context_bonus,both,0.0010011392466505546,0.0,0.0030034177399516637,110,1,0,109
temporal,test,both_minus_context_penalty,both,0.0,0.0,0.0,110,0,0,110
temporal,test,fixed_both,fixed_bonuses,-1.9569428594028918e-05,-5.870828578208675e-05,0.0,110,0,1,109
query,validation,bonuses_only,hybrid,1.843788263817457e-05,-0.006740563627979143,0.009381563417484877,70,2,4,64
query,validation,penalties_only,hybrid,-0.0001135104621217266,-0.006813157260682683,0.009258162712318717,70,2,5,63
query,validation,both,hybrid,-0.0014874848451506245,-0.008833350488049565,0.007922636303556866,70,2,6,62
query,validation,both_minus_entity_bonus,hybrid,1.843788263817457e-05,-0.006740563627979143,0.009381563417484877,70,2,4,64
query,validation,both_minus_entity_penalty,hybrid,1.843788263817457e-05,-0.006740563627979143,0.009381563417484877,70,2,4,64
query,validation,both_minus_context_bonus,hybrid,-0.002213154713046835,-0.009972684074190788,0.00716195909828592,70,2,6,62
query,validation,both_minus_context_penalty,hybrid,-0.0014874848451506245,-0.008833350488049565,0.007922636303556866,70,2,6,62
query,validation,fixed_bonuses,hybrid,-0.0014180349292660596,-0.006212319775094658,0.001569877911227572,70,3,1,66
query,validation,fixed_penalties,hybrid,-0.0014180349292660596,-0.006212319775094658,0.001569877911227572,70,3,1,66
query,validation,fixed_both,hybrid,0.0012717336487816056,-0.00479898422722925,0.009808884272892308,70,3,1,66
query,validation,both_minus_entity_bonus,both,0.0015059227277887987,3.822803189779212e-05,0.003970514518213171,70,4,0,66
query,validation,both_minus_entity_penalty,both,0.0015059227277887987,3.822803189779212e-05,0.003970514518213171,70,4,0,66
query,validation,both_minus_context_bonus,both,-0.0007256698678962104,-0.0021770096036886314,0.0,70,0,1,69
query,validation,both_minus_context_penalty,both,0.0,0.0,0.0,70,0,0,70
query,validation,fixed_both,fixed_bonuses,0.0026897685780476652,-0.0010302733338099057,0.009614715734857854,70,1,1,68
query,test,bonuses_only,hybrid,-0.003043294020694312,-0.008564669181582397,0.000337874643051082,68,2,5,61
query,test,penalties_only,hybrid,-0.004667751328854921,-0.011480487565003396,-8.727411075076273e-05,68,2,6,60
query,test,both,hybrid,-0.004082599261993034,-0.010248828744593125,9.169682344191533e-05,68,2,6,60
query,test,both_minus_entity_bonus,hybrid,-0.003043294020694312,-0.008564669181582397,0.000337874643051082,68,2,5,61
query,test,both_minus_entity_penalty,hybrid,-0.003043294020694312,-0.008564669181582397,0.000337874643051082,68,2,5,61
query,test,both_minus_context_bonus,hybrid,-0.004873006087171915,-0.011693888975414513,-0.00014301305834036967,68,2,6,60
query,test,both_minus_context_penalty,hybrid,-0.004082599261993034,-0.010248828744593125,9.169682344191533e-05,68,2,6,60
query,test,fixed_bonuses,hybrid,-0.000638779186565896,-0.0018777531025175175,0.0001436885822694238,68,1,4,63
query,test,fixed_penalties,hybrid,-0.0022435821412967265,-0.006122711260306117,4.9238423170981775e-05,68,1,5,62
query,test,fixed_both,hybrid,-0.0036338999761757686,-0.00965243034697466,3.585709889554259e-05,68,1,5,62
query,test,both_minus_entity_bonus,both,0.0010393052412987222,-0.0004453733452491505,0.0033604998041076055,68,2,1,65
query,test,both_minus_entity_penalty,both,0.0010393052412987222,-0.0004453733452491505,0.0033604998041076055,68,2,1,65
query,test,both_minus_context_bonus,both,-0.0007904068251788817,-0.00213636265999644,0.0,68,0,2,66
query,test,both_minus_context_penalty,both,0.0,0.0,0.0,68,0,0,68
query,test,fixed_both,fixed_bonuses,-0.002995120789609873,-0.007919943465887884,0.0,68,0,3,65
query_dedup,validation,bonuses_only,hybrid,-5.534845632834252e-05,-0.00647451345192968,0.006708654401590199,69,1,2,66
query_dedup,validation,penalties_only,hybrid,-0.0016756754585680806,-0.008579717879892281,0.005088327399350461,69,1,3,65
query_dedup,validation,both,hybrid,-0.0015107873109218614,-0.008080441777118101,0.004758920895485403,69,1,4,64
query_dedup,validation,both_minus_entity_bonus,hybrid,-5.534845632834252e-05,-0.00647451345192968,0.006708654401590199,69,1,2,66
query_dedup,validation,both_minus_entity_penalty,hybrid,-5.534845632834252e-05,-0.00647451345192968,0.006708654401590199,69,1,2,66
query_dedup,validation,both_minus_context_bonus,hybrid,-0.002058284885638238,-0.009056925037136941,0.004662785035168582,69,1,4,64
query_dedup,validation,both_minus_context_penalty,hybrid,-0.0015107873109218614,-0.008080441777118101,0.004758920895485403,69,1,4,64
query_dedup,validation,fixed_bonuses,hybrid,0.0006673471186951082,-0.005666040247814999,0.00743134997661365,69,2,1,66
query_dedup,validation,fixed_penalties,hybrid,-0.0009141978221990438,-0.0079113136898294,0.006173638954377346,69,2,2,65
query_dedup,validation,fixed_both,hybrid,-0.0008893026631833437,-0.0074184843998197775,0.0058747001947351985,69,1,2,66
query_dedup,validation,both_minus_entity_bonus,both,0.0014554388545935189,0.0,0.0041749715260566865,69,3,0,66
query_dedup,validation,both_minus_entity_penalty,both,0.0014554388545935189,0.0,0.0041749715260566865,69,3,0,66
query_dedup,validation,both_minus_context_bonus,both,-0.000547497574716377,-0.001642492724149131,0.0,69,0,1,68
query_dedup,validation,both_minus_context_penalty,both,0.0,0.0,0.0,69,0,0,69
query_dedup,validation,fixed_both,fixed_bonuses,-0.0015566497818784518,-0.004147346929934678,0.0,69,0,2,67
query_dedup,test,bonuses_only,hybrid,0.0031655293652018517,-0.0014407672932341222,0.010740719029009872,68,5,4,59
query_dedup,test,penalties_only,hybrid,0.0031458750117720727,-0.0014466200759529464,0.010710657707575996,68,5,4,59
query_dedup,test,both,hybrid,0.0036944169221260776,-0.0011131782477791115,0.011446500323912038,68,5,4,59
query_dedup,test,both_minus_entity_bonus,hybrid,0.0031655293652018517,-0.0014407672932341222,0.010740719029009872,68,5,4,59
query_dedup,test,both_minus_entity_penalty,hybrid,0.0031655293652018517,-0.0014407672932341222,0.010740719029009872,68,5,4,59
query_dedup,test,both_minus_context_bonus,hybrid,0.0034595591065858726,-0.0013481115896140823,0.011244876261399453,68,5,4,59
query_dedup,test,both_minus_context_penalty,hybrid,0.0036944169221260776,-0.0011131782477791115,0.011446500323912038,68,5,4,59
query_dedup,test,fixed_bonuses,hybrid,8.306161866082955e-05,-0.0002821857727600318,0.00045923872989927085,68,3,2,63
query_dedup,test,fixed_penalties,hybrid,8.306161866082955e-05,-0.0002821857727600318,0.00045923872989927085,68,3,2,63
query_dedup,test,fixed_both,hybrid,0.003382228782582642,-0.00017119848548080937,0.010112943014803765,68,4,2,62
query_dedup,test,both_minus_entity_bonus,both,-0.000528887556924226,-0.001363975998148103,0.0,68,0,2,66
query_dedup,test,both_minus_entity_penalty,both,-0.000528887556924226,-0.001363975998148103,0.0,68,0,2,66
query_dedup,test,both_minus_context_bonus,both,-0.0002348578155402051,-0.0007045734466206153,0.0,68,0,1,67
query_dedup,test,both_minus_context_penalty,both,0.0,0.0,0.0,68,0,0,68
query_dedup,test,fixed_both,fixed_bonuses,0.0032991671639218127,0.0,0.009897501491765439,68,1,0,67
