feature,nonzero_pairs,mean,group,maximum
entity_bonus,12354,0.030491304347826088,current_repaired,
entity_penalty,170709,0.9695086956521739,current_repaired,
context_bonus,11737,0.053074396135265704,current_repaired,
context_penalty,8407,0.026092753623188407,current_repaired,
explicit_age_conflict,36,0.00020869565217391305,current_repaired,
explicit_route_conflict,6,3.478260869565217e-05,current_repaired,
explicit_year_conflict,8365,0.0484927536231884,current_repaired,
requested_recall,12317,0.029847826086956523,value_entity,1.0
requested_missing,170887,0.9701521739130434,value_entity,1.0
document_precision,12317,0.029315217391304348,value_entity,1.0
document_extra,171028,0.9706847826086956,value_entity,1.0
symmetric_f1,12317,0.029372705314009658,value_entity,1.0
symmetric_disagreement,171164,0.9710736714975844,value_entity,1.0
unknown_rate,0,0.0,value_entity,0.0
context_bonus,11380,0.05139323671497585,exact_context,1.0
context_penalty,13020,0.0633768115942029,exact_context,1.0
context_unknown,63644,0.3572299516908212,exact_context,1.0
