query_id,liang_final_intent,liang_top_probability,liang_second_intent,liang_second_probability,liang_probability_margin,attention_semantic,attention_sentence_tfidf,attention_class_centroid_tfidf,weak_anchor_label,used_as_weak_anchor,probability_management___treatment_selection,probability_dosing___administration,probability_safety___contraindication,probability_interaction___combination,probability_comparative_treatment_choice,probability_monitoring___response___risk_assessment,probability_efficacy___outcomes,probability_guideline___evidence_lookup,probability_treatment_change___escalation,probability_prophylaxis___maintenance,probability_mechanism___background_knowledge
Q001,Safety / Contraindication,0.8990935,Efficacy / Outcomes,0.022822302,0.8762712,0.08010235,0.26189202,0.65800565,Safety / Contraindication,True,0.0061390633,0.021541167,0.8990935,0.018495213,0.0053785024,0.0048387274,0.022822302,0.0057445364,0.002531223,0.010254758,0.0031609493
Q002,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,True,0.0068379124,0.00059416913,0.05327918,0.0024491253,0.0041898075,0.890431,0.0017557619,0.019456545,0.0018665736,0.0032776715,0.015862267
Q003,Interaction / Combination,0.9658287,Safety / Contraindication,0.0093598245,0.9564689,0.059179965,0.17512545,0.76569456,Interaction / Combination,True,0.0073426496,0.0067133796,0.0093598245,0.9658287,0.0008911213,0.0013587686,0.0004055369,0.0035923512,0.0017799377,0.0014922882,0.0012353742
Q004,Efficacy / Outcomes,0.985386,Safety / Contraindication,0.007339046,0.97804695,0.25569043,0.34933466,0.39497498,Efficacy / Outcomes,True,0.00062200014,0.0010590008,0.007339046,0.0004650272,0.00034547818,0.0006852665,0.985386,0.0015773235,0.00031874055,0.0015134864,0.0006884901
Q005,Safety / Contraindication,0.73063,Efficacy / Outcomes,0.05275428,0.6778757,0.21928418,0.19392462,0.5867912,Safety / Contraindication,True,0.042467862,0.015543464,0.73063,0.036064792,0.015563455,0.022194685,0.05275428,0.03814801,0.005654433,0.01356263,0.02741628
Q006,Interaction / Combination,0.9430835,Safety / Contraindication,0.027149757,0.9159338,0.055518784,0.17306238,0.7714188,Interaction / Combination,True,0.008334557,0.007169365,0.027149757,0.9430835,0.0010950831,0.0021870113,0.0009822141,0.004935825,0.0014888656,0.0020402197,0.0015335305
Q007,Dosing / Administration,0.9290329,Safety / Contraindication,0.028950522,0.9000824,0.23898493,0.3060625,0.45495266,Dosing / Administration,True,0.0017207923,0.9290329,0.028950522,0.0039640944,0.004264655,0.0003087001,0.002007983,0.00048359288,0.0061528217,0.022316057,0.0007978815
Q008,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,True,0.0068379124,0.00059416913,0.05327918,0.0024491253,0.0041898075,0.890431,0.0017557619,0.019456545,0.0018665736,0.0032776715,0.015862267
Q009,Interaction / Combination,0.96815825,Management / Treatment Selection,0.011496757,0.95666146,0.056410003,0.12776594,0.81582403,Interaction / Combination,True,0.011496757,0.005260282,0.008127491,0.96815825,0.0006864637,0.0007660525,0.00031749677,0.0027614604,0.00086142827,0.0008724832,0.00069178373
Q010,Dosing / Administration,0.9370421,Safety / Contraindication,0.02476116,0.912281,0.11514645,0.30007026,0.58478326,Dosing / Administration,True,0.0008336398,0.9370421,0.02476116,0.004608833,0.0041895746,0.00026082367,0.0004221735,0.00028491154,0.010789378,0.016507117,0.00030031818
