query_id,query_text,language,intent_text,cluster_id,liang_final_intent,liang_top_probability,liang_second_intent,liang_second_probability,liang_probability_margin,attention_semantic,attention_sentence_tfidf,attention_class_centroid_tfidf,anchor_rule_intent,matched_candidate_intents,n_anchor_matches,used_as_weak_anchor,prototype_top_intent,prototype_top_score,prototype_second_intent,prototype_second_score,ambiguity_margin,margin_is_calibrated_confidence,similarity_management_treatment,similarity_diagnosis_differential_diagnosis,similarity_work_up_test_selection,similarity_test_clinical_data_interpretation,similarity_pharmacotherapy,similarity_evidence_guideline_lookup,similarity_procedures_techniques,similarity_epidemiology_prognosis,similarity_patient_communication_education,similarity_other_ambiguous,review_status,interpretation
Q002,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,EN,drugclass adverse effects monitoring in disease,6,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,True,Pharmacotherapy,0.6137334,Diagnosis / Differential Diagnosis,0.46670735,0.14702606,False,0.335202,0.466707,0.287495,0.368173,0.613733,0.375557,0.22477,0.414124,0.334353,0.130501,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q008,Short-acting beta2-agonists adverse effects monitoring in Asthma,EN,drugclass adverse effects monitoring in disease,6,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,True,Pharmacotherapy,0.6137334,Diagnosis / Differential Diagnosis,0.46670735,0.14702606,False,0.335202,0.466707,0.287495,0.368173,0.613733,0.375557,0.22477,0.414124,0.334353,0.130501,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q027,Vitamin A adverse effects monitoring in Stunting / Malnutrition,EN,medicine adverse effects monitoring in disease,6,Monitoring / Response / Risk Assessment,0.95744383,Safety / Contraindication,0.025715064,0.9317288,0.116592534,0.13519408,0.7482134,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,True,Pharmacotherapy,0.53955275,Diagnosis / Differential Diagnosis,0.51086396,0.028688788,False,0.397458,0.510864,0.316,0.446217,0.539553,0.401033,0.321359,0.479871,0.409984,0.109818,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q028,ACE inhibitors adverse effects monitoring in Hypertension,EN,drugclass adverse effects monitoring in disease,6,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,True,Pharmacotherapy,0.6137334,Diagnosis / Differential Diagnosis,0.46670735,0.14702606,False,0.335202,0.466707,0.287495,0.368173,0.613733,0.375557,0.22477,0.414124,0.334353,0.130501,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q068,Labetalol resistance in Hypertension in Pregnancy alternative therapy,EN,medicine resistance in disease alternative therapy,0,Interaction / Combination,0.40348408,Treatment Change / Escalation,0.21723941,0.18624467,0.06778472,0.18726723,0.744948,Treatment Change / Escalation,Treatment Change / Escalation,1,True,Pharmacotherapy,0.40112028,Evidence / Guideline Lookup,0.3830844,0.018035889,False,0.352638,0.221449,0.176431,0.249411,0.40112,0.383084,0.351894,0.318592,0.297085,0.05811,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q089,biomarkers Community-acquired Pneumonia treatment response Rivaroxaban,EN,biomarkers disease treatment response medicine,0,Safety / Contraindication,0.41025126,Dosing / Administration,0.38823476,0.022016495,0.08477539,0.33485648,0.5803681,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,1,True,Evidence / Guideline Lookup,0.42787552,Epidemiology / Prognosis,0.4103276,0.017547905,False,0.400153,0.384197,0.243361,0.368582,0.386112,0.427876,0.314677,0.410328,0.357468,0.015107,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q103,biomarkers Ischaemic Stroke treatment response Alteplase,EN,biomarkers disease treatment response medicine,0,Safety / Contraindication,0.41025126,Dosing / Administration,0.38823476,0.022016495,0.08477539,0.33485648,0.5803681,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,1,True,Evidence / Guideline Lookup,0.42787552,Epidemiology / Prognosis,0.4103276,0.017547905,False,0.400153,0.384197,0.243361,0.368582,0.386112,0.427876,0.314677,0.410328,0.357468,0.015107,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q108,Antituberculotics adverse effects monitoring in Tuberculosis,EN,drugclass adverse effects monitoring in disease,6,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,True,Pharmacotherapy,0.6137334,Diagnosis / Differential Diagnosis,0.46670735,0.14702606,False,0.335202,0.466707,0.287495,0.368173,0.613733,0.375557,0.22477,0.414124,0.334353,0.130501,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q111,Erythropoietin contraindication in Iron Deficiency Anaemia with anaemia,EN,medicine contraindication in disease with anaemia,12,Dosing / Administration,0.40504202,Safety / Contraindication,0.40285012,0.0021919012,0.07290639,0.33919907,0.58789456,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.31550953,Evidence / Guideline Lookup,0.31430072,0.001208812,False,0.304468,0.289717,0.208535,0.296103,0.31551,0.314301,0.264803,0.309448,0.23835,0.034868,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q132,Methotrexate dosing in Systemic Lupus Erythematosus with heart failure,EN,medicine dosing in disease with heart failure,7,Treatment Change / Escalation,0.9160713,Dosing / Administration,0.049375046,0.86669624,0.062237855,0.3146995,0.62306255,Dosing / Administration,Dosing / Administration,1,True,Evidence / Guideline Lookup,0.36424905,Pharmacotherapy,0.3392815,0.024967551,False,0.268027,0.228333,0.115733,0.216248,0.339282,0.364249,0.245495,0.30527,0.217397,-0.005713,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
