query_id,prototype_top_intent,prototype_top_score,prototype_second_intent,prototype_second_score,ambiguity_margin,margin_is_calibrated_confidence,similarity_management_treatment,similarity_diagnosis_differential_diagnosis,similarity_work_up_test_selection,similarity_test_clinical_data_interpretation,similarity_pharmacotherapy,similarity_evidence_guideline_lookup,similarity_procedures_techniques,similarity_epidemiology_prognosis,similarity_patient_communication_education,similarity_other_ambiguous,query_text,liang_final_intent,matched_candidate_intents,n_anchor_matches,liang_top_probability,liang_probability_margin,review_priority,margin_interpretation
Q111,Pharmacotherapy,0.31550953,Evidence / Guideline Lookup,0.31430072,0.001208812,False,0.304468,0.289717,0.208535,0.296103,0.31551,0.314301,0.264803,0.309448,0.23835,0.034868,Erythropoietin contraindication in Iron Deficiency Anaemia with anaemia,Dosing / Administration,Safety / Contraindication,1,0.40504202,0.0021919012,high,ranking aid only; not calibrated confidence
Q336,Pharmacotherapy,0.31550953,Evidence / Guideline Lookup,0.31430072,0.001208812,False,0.304468,0.289717,0.208535,0.296103,0.31551,0.314301,0.264803,0.309448,0.23835,0.034868,Lithium contraindication in Bipolar Disorder with anaemia,Dosing / Administration,Safety / Contraindication,1,0.40504202,0.0021919012,high,ranking aid only; not calibrated confidence
Q434,Pharmacotherapy,0.31550953,Evidence / Guideline Lookup,0.31430072,0.001208812,False,0.304468,0.289717,0.208535,0.296103,0.31551,0.314301,0.264803,0.309448,0.23835,0.034868,Rosuvastatin contraindication in Acute Coronary Syndrome with anaemia,Dosing / Administration,Safety / Contraindication,1,0.40504202,0.0021919012,high,ranking aid only; not calibrated confidence
Q431,Diagnosis / Differential Diagnosis,0.4211911,Pharmacotherapy,0.41907984,0.0021112561,False,0.308867,0.421191,0.257251,0.369292,0.41908,0.352662,0.188092,0.344417,0.254985,0.119918,Proton pump inhibitors kontraindikasi pada Peptic Ulcer Disease dengan anaemia,Safety / Contraindication,Safety / Contraindication,1,0.57139087,0.49946076,high,ranking aid only; not calibrated confidence
Q106,Procedures / Techniques,0.38592738,Management / Treatment,0.38342407,0.0025033057,False,0.383424,0.216584,0.21026,0.271932,0.345126,0.329211,0.385927,0.340985,0.312514,0.050287,titration protocol Metoprolol in Heart Failure,Dosing / Administration,Dosing / Administration,1,0.37508363,0.10218626,high,ranking aid only; not calibrated confidence
Q145,Procedures / Techniques,0.38592738,Management / Treatment,0.38342407,0.0025033057,False,0.383424,0.216584,0.21026,0.271932,0.345126,0.329211,0.385927,0.340985,0.312514,0.050287,titration protocol Rivaroxaban in Community-acquired Pneumonia,Dosing / Administration,Dosing / Administration,1,0.37508363,0.10218626,high,ranking aid only; not calibrated confidence
Q159,Procedures / Techniques,0.38592738,Management / Treatment,0.38342407,0.0025033057,False,0.383424,0.216584,0.21026,0.271932,0.345126,0.329211,0.385927,0.340985,0.312514,0.050287,titration protocol Cyclosporine in Psoriasis,Dosing / Administration,Dosing / Administration,1,0.37508363,0.10218626,high,ranking aid only; not calibrated confidence
Q263,Procedures / Techniques,0.38592738,Management / Treatment,0.38342407,0.0025033057,False,0.383424,0.216584,0.21026,0.271932,0.345126,0.329211,0.385927,0.340985,0.312514,0.050287,titration protocol Levothyroxine in Hypothyroidism,Dosing / Administration,Dosing / Administration,1,0.37508363,0.10218626,high,ranking aid only; not calibrated confidence
Q326,Procedures / Techniques,0.38592738,Management / Treatment,0.38342407,0.0025033057,False,0.383424,0.216584,0.21026,0.271932,0.345126,0.329211,0.385927,0.340985,0.312514,0.050287,titration protocol Ferrous sulphate in Iron Deficiency Anaemia,Dosing / Administration,Dosing / Administration,1,0.37508363,0.10218626,high,ranking aid only; not calibrated confidence
Q484,Procedures / Techniques,0.38592738,Management / Treatment,0.38342407,0.0025033057,False,0.383424,0.216584,0.21026,0.271932,0.345126,0.329211,0.385927,0.340985,0.312514,0.050287,titration protocol Bedaquiline in Tuberculosis,Dosing / Administration,Dosing / Administration,1,0.37508363,0.10218626,high,ranking aid only; not calibrated confidence
Q492,Procedures / Techniques,0.38592738,Management / Treatment,0.38342407,0.0025033057,False,0.383424,0.216584,0.21026,0.271932,0.345126,0.329211,0.385927,0.340985,0.312514,0.050287,titration protocol Alendronate in Osteoporosis,Dosing / Administration,Dosing / Administration,1,0.37508363,0.10218626,high,ranking aid only; not calibrated confidence
Q151,Management / Treatment,0.5233817,Evidence / Guideline Lookup,0.5208568,0.0025249124,False,0.523382,0.440759,0.34197,0.414528,0.370681,0.520857,0.371007,0.505761,0.420732,0.151347,latest guideline Preeclampsia management 2024,Guideline / Evidence Lookup,Guideline / Evidence Lookup,1,0.9227654,0.881417,high,ranking aid only; not calibrated confidence
Q023,Evidence / Guideline Lookup,0.56445384,Diagnosis / Differential Diagnosis,0.5608883,0.0035655499,False,0.507323,0.560888,0.357313,0.531261,0.512631,0.564454,0.425113,0.54769,0.486233,0.147116,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,0.9326238,0.8989352,high,ranking aid only; not calibrated confidence
Q156,Evidence / Guideline Lookup,0.56445384,Diagnosis / Differential Diagnosis,0.5608883,0.0035655499,False,0.507323,0.560888,0.357313,0.531261,0.512631,0.564454,0.425113,0.54769,0.486233,0.147116,indikasi Tenofovir+Lamivudine pada Urinary Tract Infection guideline terbaru,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,0.9326238,0.8989352,high,ranking aid only; not calibrated confidence
Q313,Evidence / Guideline Lookup,0.56445384,Diagnosis / Differential Diagnosis,0.5608883,0.0035655499,False,0.507323,0.560888,0.357313,0.531261,0.512631,0.564454,0.425113,0.54769,0.486233,0.147116,indikasi Losartan pada Chronic Kidney Disease guideline terbaru,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,0.9326238,0.8989352,high,ranking aid only; not calibrated confidence
Q372,Evidence / Guideline Lookup,0.56445384,Diagnosis / Differential Diagnosis,0.5608883,0.0035655499,False,0.507323,0.560888,0.357313,0.531261,0.512631,0.564454,0.425113,0.54769,0.486233,0.147116,indikasi Semaglutide pada Type 2 Diabetes Mellitus guideline terbaru,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,0.9326238,0.8989352,high,ranking aid only; not calibrated confidence
Q445,Evidence / Guideline Lookup,0.56445384,Diagnosis / Differential Diagnosis,0.5608883,0.0035655499,False,0.507323,0.560888,0.357313,0.531261,0.512631,0.564454,0.425113,0.54769,0.486233,0.147116,indikasi Losartan pada Heart Failure guideline terbaru,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,0.9326238,0.8989352,high,ranking aid only; not calibrated confidence
Q469,Evidence / Guideline Lookup,0.56445384,Diagnosis / Differential Diagnosis,0.5608883,0.0035655499,False,0.507323,0.560888,0.357313,0.531261,0.512631,0.564454,0.425113,0.54769,0.486233,0.147116,indikasi Bedaquiline pada MDR Tuberculosis guideline terbaru,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,0.9326238,0.8989352,high,ranking aid only; not calibrated confidence
Q004,Epidemiology / Prognosis,0.5372452,Pharmacotherapy,0.53344434,0.003800869,False,0.482681,0.432297,0.295658,0.447422,0.533444,0.509802,0.453467,0.537245,0.427836,0.10155,Apixaban efficacy pada Deep Vein Thrombosis clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,1,0.985386,0.97804695,high,ranking aid only; not calibrated confidence
Q029,Epidemiology / Prognosis,0.5372452,Pharmacotherapy,0.53344434,0.003800869,False,0.482681,0.432297,0.295658,0.447422,0.533444,0.509802,0.453467,0.537245,0.427836,0.10155,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,1,0.985386,0.97804695,high,ranking aid only; not calibrated confidence
Q065,Epidemiology / Prognosis,0.5372452,Pharmacotherapy,0.53344434,0.003800869,False,0.482681,0.432297,0.295658,0.447422,0.533444,0.509802,0.453467,0.537245,0.427836,0.10155,Semaglutide efficacy pada Type 2 Diabetes Mellitus clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,1,0.985386,0.97804695,high,ranking aid only; not calibrated confidence
Q223,Epidemiology / Prognosis,0.5372452,Pharmacotherapy,0.53344434,0.003800869,False,0.482681,0.432297,0.295658,0.447422,0.533444,0.509802,0.453467,0.537245,0.427836,0.10155,Rivaroxaban efficacy pada Community-acquired Pneumonia clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,1,0.985386,0.97804695,high,ranking aid only; not calibrated confidence
Q269,Epidemiology / Prognosis,0.5372452,Pharmacotherapy,0.53344434,0.003800869,False,0.482681,0.432297,0.295658,0.447422,0.533444,0.509802,0.453467,0.537245,0.427836,0.10155,Sertraline efficacy pada Major Depressive Disorder clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,1,0.985386,0.97804695,high,ranking aid only; not calibrated confidence
Q317,Epidemiology / Prognosis,0.5372452,Pharmacotherapy,0.53344434,0.003800869,False,0.482681,0.432297,0.295658,0.447422,0.533444,0.509802,0.453467,0.537245,0.427836,0.10155,Methylphenidate efficacy pada Breast Cancer HER2-positive clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,1,0.985386,0.97804695,high,ranking aid only; not calibrated confidence
Q353,Epidemiology / Prognosis,0.5372452,Pharmacotherapy,0.53344434,0.003800869,False,0.482681,0.432297,0.295658,0.447422,0.533444,0.509802,0.453467,0.537245,0.427836,0.10155,Nivolumab efficacy pada Non-Small Cell Lung Cancer clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,1,0.985386,0.97804695,high,ranking aid only; not calibrated confidence
Q473,Epidemiology / Prognosis,0.5372452,Pharmacotherapy,0.53344434,0.003800869,False,0.482681,0.432297,0.295658,0.447422,0.533444,0.509802,0.453467,0.537245,0.427836,0.10155,Tenofovir+Lamivudine efficacy pada Urinary Tract Infection clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,1,0.985386,0.97804695,high,ranking aid only; not calibrated confidence
