group_type,group_name,n_queries,has_disease,has_molecule,has_drug_class,n_entities,has_multiple_molecules,has_age,has_year,has_renal_constraint,has_dose,has_route,has_pregnancy_context,comparison_flag,negation_flag
semantic_cluster,0,216,1.0,1.0,1.0,3.3148,0.1806,0.0,0.088,0.0,0.0,0.0046,0.037,0.1065,0.0278
semantic_cluster,1,34,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.6471,0.5294,0.0294,0.0294,0.0,0.0588
semantic_cluster,2,14,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.2143,0.0,0.0,0.0,0.0
semantic_cluster,3,21,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.7143,0.0,0.0,0.0,0.0
semantic_cluster,4,10,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1
semantic_cluster,5,17,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.5882,0.0,0.0,0.0,0.0
semantic_cluster,6,88,1.0,1.0,1.0,3.0,0.0,0.0,0.1136,0.0,0.0,0.0114,0.0568,0.0,0.0
semantic_cluster,7,4,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
semantic_cluster,8,13,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.6923,0.0,0.0769,0.0,0.0
semantic_cluster,9,8,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_cluster,10,33,1.0,1.0,1.0,3.0,0.0,0.3636,0.0,0.0,1.0,0.0,0.0303,0.0,0.0
semantic_cluster,11,11,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_cluster,12,7,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_cluster,13,4,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
semantic_cluster,14,20,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.05
final_taxonomy_class,Management / Treatment Selection,58,1.0,1.0,1.0,3.0,0.0,0.0517,0.0,0.0345,0.0,0.0,0.069,0.0,0.0
final_taxonomy_class,Dosing / Administration,99,1.0,1.0,1.0,3.0,0.0,0.2121,0.0,0.1515,0.8788,0.0101,0.0303,0.0,0.0
final_taxonomy_class,Safety / Contraindication,73,1.0,1.0,1.0,3.0,0.0,0.0137,0.0,0.0685,0.0685,0.0,0.2329,0.0,0.0548
final_taxonomy_class,Interaction / Combination,24,1.0,1.0,1.0,3.75,0.4167,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.25
final_taxonomy_class,Comparative Treatment Choice,23,1.0,1.0,1.0,3.8696,0.5217,0.0,0.0,0.0,0.0,0.0,0.087,1.0,0.0
final_taxonomy_class,Monitoring / Response / Risk Assessment,40,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0
final_taxonomy_class,Efficacy / Outcomes,20,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final_taxonomy_class,Guideline / Evidence Lookup,59,1.0,1.0,1.0,3.0,0.0,0.0,0.4915,0.0,0.0,0.0,0.0508,0.0,0.0
final_taxonomy_class,Treatment Change / Escalation,44,1.0,1.0,1.0,3.6818,0.3864,0.0,0.0,0.0,0.0227,0.0,0.0455,0.0,0.0
final_taxonomy_class,Prophylaxis / Maintenance,31,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323,0.0,0.0
final_taxonomy_class,Mechanism / Background Knowledge,29,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0
