query_id,has_disease,has_molecule,has_drug_class,n_entities,has_multiple_molecules,has_age,has_year,has_renal_constraint,has_dose,has_route,has_pregnancy_context,comparison_flag,negation_flag
Q001,1,1,1,3,0,0,0,0,0,0,0,0,0
Q002,1,1,1,3,0,0,0,0,0,0,0,0,0
Q003,1,1,1,3,0,0,0,0,0,0,0,0,0
Q004,1,1,1,3,0,0,0,0,0,0,0,0,0
Q005,1,1,1,3,0,0,0,0,0,0,1,0,0
Q006,1,1,1,3,0,0,0,0,0,0,0,0,1
Q007,1,1,1,3,0,0,0,0,1,0,0,0,0
Q008,1,1,1,3,0,0,0,0,0,0,0,0,0
Q009,1,1,1,3,0,0,0,0,0,0,0,0,0
Q010,1,1,1,3,0,0,0,1,1,0,1,0,0
Q011,1,1,1,3,0,0,0,1,1,1,0,0,0
Q012,1,1,1,3,0,1,0,0,1,0,0,0,0
Q013,1,1,1,3,0,0,0,0,0,0,0,0,0
Q014,1,1,1,3,0,1,0,0,1,0,0,0,0
Q015,1,1,1,3,0,0,0,0,0,0,0,0,0
Q016,1,1,1,3,0,0,0,1,0,0,0,0,0
Q017,1,1,1,3,0,0,0,0,0,0,0,0,0
Q018,1,1,1,5,1,0,0,0,0,0,0,0,0
Q019,1,1,1,3,0,0,0,1,1,0,0,0,0
Q020,1,1,1,3,0,0,1,0,0,0,0,0,0
Q021,1,1,1,3,0,0,0,0,1,0,0,0,0
Q022,1,1,1,3,0,0,0,0,0,0,1,0,0
Q023,1,1,1,3,0,0,0,0,0,0,0,0,0
Q024,1,1,1,3,0,0,0,1,1,0,0,0,0
Q025,1,1,1,3,0,0,1,0,0,0,0,0,0
Q026,1,1,1,3,0,0,0,0,0,0,1,0,0
Q027,1,1,1,3,0,0,0,0,0,0,0,0,0
Q028,1,1,1,3,0,0,0,0,0,0,0,0,0
Q029,1,1,1,3,0,0,0,0,0,0,0,0,0
Q030,1,1,1,3,0,0,0,0,0,0,0,0,0
Q031,1,1,1,3,0,0,0,0,0,0,0,0,0
Q032,1,1,1,5,1,0,0,0,0,0,0,0,0
Q033,1,1,1,3,0,0,0,0,1,0,0,0,1
Q034,1,1,1,3,0,0,0,0,0,0,0,0,0
Q035,1,1,1,3,0,0,0,0,0,0,0,0,0
Q036,1,1,1,3,0,1,0,0,1,0,0,0,0
Q037,1,1,1,3,0,0,0,0,0,0,1,0,0
Q038,1,1,1,3,0,0,0,0,0,0,0,0,0
Q039,1,1,1,3,0,0,0,0,0,0,0,0,0
Q040,1,1,1,3,0,0,0,0,0,0,0,0,0
Q041,1,1,1,3,0,0,0,0,0,0,0,0,0
Q042,1,1,1,5,1,0,0,0,0,0,0,0,0
Q043,1,1,1,3,0,0,0,0,0,0,0,0,0
Q044,1,1,1,3,0,0,0,0,0,0,1,0,0
Q045,1,1,1,3,0,0,0,0,0,0,0,0,0
Q046,1,1,1,3,0,0,0,0,0,0,0,0,0
Q047,1,1,1,3,0,0,0,0,0,0,0,0,0
Q048,1,1,1,3,0,0,0,0,0,0,0,0,0
Q049,1,1,1,3,0,0,0,0,0,0,0,0,0
Q050,1,1,1,3,0,0,0,0,1,0,0,0,0
Q051,1,1,1,3,0,0,0,0,0,0,0,0,0
Q052,1,1,1,3,0,0,0,0,0,0,0,0,0
Q053,1,1,1,3,0,0,0,0,0,0,0,0,0
Q054,1,1,1,3,0,0,0,1,0,0,0,0,0
Q055,1,1,1,3,0,0,0,0,0,0,0,0,0
Q056,1,1,1,3,0,0,0,0,1,0,0,0,0
Q057,1,1,1,3,0,0,0,0,0,0,0,1,0
Q058,1,1,1,3,0,0,0,0,0,0,0,0,0
Q059,1,1,1,5,1,0,0,0,0,0,0,0,0
Q060,1,1,1,3,0,0,0,0,0,0,0,0,0
Q061,1,1,1,3,0,0,0,0,0,0,0,0,0
Q062,1,1,1,3,0,0,0,0,0,0,0,0,0
Q063,1,1,1,3,0,1,0,0,1,0,0,0,0
Q064,1,1,1,3,0,0,0,0,0,0,1,0,0
Q065,1,1,1,3,0,0,0,0,0,0,0,0,0
Q066,1,1,1,3,0,0,0,0,0,0,0,0,0
Q067,1,1,1,3,0,0,1,0,0,0,0,0,0
Q068,1,1,1,3,0,0,0,0,0,0,1,0,0
Q069,1,1,1,3,0,0,0,0,1,0,0,0,0
Q070,1,1,1,3,0,0,0,0,0,0,0,0,0
Q071,1,1,1,5,1,0,0,0,0,0,0,1,0
Q072,1,1,1,3,0,0,0,0,0,0,0,0,0
Q073,1,1,1,3,0,0,0,0,0,0,0,0,0
Q074,1,1,1,3,0,0,0,0,0,0,0,0,0
Q075,1,1,1,3,0,0,0,0,0,0,0,0,0
Q076,1,1,1,3,0,0,0,1,1,0,0,0,0
Q077,1,1,1,3,0,0,0,0,0,0,0,0,0
Q078,1,1,1,3,0,0,0,0,0,0,0,0,0
Q079,1,1,1,3,0,0,0,0,0,0,0,0,0
Q080,1,1,1,3,0,0,0,0,0,0,0,0,0
Q081,1,1,1,3,0,0,0,0,0,0,0,0,0
Q082,1,1,1,3,0,0,0,0,0,0,0,0,0
Q083,1,1,1,3,0,0,0,0,0,0,0,0,0
Q084,1,1,1,3,0,0,0,0,0,0,0,0,0
Q085,1,1,1,3,0,0,0,0,0,0,0,1,0
Q086,1,1,1,5,1,0,0,0,0,0,0,0,0
Q087,1,1,1,3,0,0,0,1,0,0,0,0,0
Q088,1,1,1,3,0,0,0,1,1,0,0,0,0
Q089,1,1,1,3,0,0,0,0,0,0,0,0,0
Q090,1,1,1,3,0,0,0,0,0,0,0,0,0
Q091,1,1,1,3,0,1,0,0,1,0,0,0,0
Q092,1,1,1,3,0,0,0,0,0,0,0,0,0
